bicth not even the actual vaccine was this bad how tf am i supposed to sleep???
So Fauci's department is part owner of the Moderna vaccine? How is that not a conflict of interest? https://t.co/gwE8eFQ9KP
@Lukewearechange Their treatments weren’t sponsored by @pfizer
Senate votes to nix Biden’s vaccine mandate for businesses #SmartNews  https://t.co/b9cjgm7VnY
"FDA Panel Member On Children: ""We're never gonna learn about how safe the vaccine is until we start giving it.""… https://t.co/B4AXIdsQ67"
"@FrostyBeep Because we responsibly take precautions such as vaccines and masking. Sadly, the vaccine does not grant… https://t.co/izO8oeFThE"
"@TheOGpianoGeek I can’t get the flu vaccine anymore due to health issues, but I’m Covid vaxxed and Boostered."
Senate votes to nix Biden's vaccine mandate for businesses https://t.co/Mq3f9VPegB  Download Now https://t.co/6n7PKNstIE
"34,000 LAUSD students miss vaccine deadline, must enroll in independent study or leave district… https://t.co/0pJF2oRGF1"
But the vaccine is the problem https://t.co/uYjZr17fgB
@FSakes1000 I had absolutely no reaction when I got both my Pfizer shots. Worried though that some of the medical p… https://t.co/1QqoNobcKO
@GilliamReport @NBCNews It’s anti vaccine mandate not anti vaccine. I got vaccine but against vaccine mandate.
@aba_3000 New info that Pfizer gladly shares with tax lovers: https://t.co/X2mSyFlRI8
"Has anyone had any side effects from their boosters? I recently got my Moderna booster, and all that I am feeling i… https://t.co/adW8KNfUK5"
This booster shot really fucking me up☹️
HUGE! Glenn Beck on Tucker Carlson: US Doctors Were Reviewing Moderna Vaccine In December 2019 Before COVID Hit the… https://t.co/GcTqxCXTRN
@disclosetv So someone who hasn't been vaxxed yet needs 3 to protect from Omicron? But 2 protects from Delta? Pfize… https://t.co/SB3OSNbFmU
Judge blocks last remaining Biden administration vaccine rule https://t.co/NWiLs5wCii
Fact Check: Pfizer Did NOT Under-Report Deaths In Clinical Trial Of #COVID19 Vaccine -- Numbers Change As New Data… https://t.co/ZHePSBOAX5
Impossible vaccine I’m dead!!!! 😂😂😂😂😂😂 https://t.co/BZrNcQNKyD
"@RepLaMalfa If vaccine mandates are not the answer, what is?   How do we prevent the transmission of Covid-19 and other Covid-variances ????"
Studies suggest a sharp drop in vaccine protection against Omicron — yet there’s cause for optimism - NPR https://t.co/Yr78YS2BCW
@EricTopol @Cleavon_MD @NEJM I argued with a dear friend and former nurse today who doesn't believe any of this...… https://t.co/j8zRkWyldv
@jimcramer Yep! Pfizer and Moderna say keep them variants coming. Boosters for life! 💰💰💰 https://t.co/hv44ZrBw4c
Nowhere in the Constitution does it say anything even close to ruling out vaccine mandates to save the lives of Ame… https://t.co/l6Sqsj2r7j
Sen. Ron Johnson (R-Wis.) says government officials &amp;  media censor unvaccinated to maintain control over the popul… https://t.co/TYdPGP82Bx
Increases are due almost entirely to the delta variant and affecting mostly unvaccinated people… https://t.co/Rex55q8Aol
@prototypeoflife @Yaaasssuko Got the pfizer last Thursday and man was that fun. 🙃
@ASlavitt Should people who got the vaccine get the booster even though they had COVID in August and their antibody… https://t.co/nXyktK4tn6
What in the living fuck is wrong with these people??  Do they NOT realize that voters cannot vote with a ventilator… https://t.co/jSoJ8EIYKN
Got my first booster shot Friday 🤪
Aides to President Biden say his vaccine mandate on federal workers has boosted the vaccination rate for that workf… https://t.co/jwNOqqmWn4
@blue_chip1 It’s because no one wanted the bad AstraZeneca vaccine   Both the EU and Uk stopped using it due to mas… https://t.co/0Prrkx7xF7
@i_got_grace @BrewerDB1 @Timcast This must be a Pfizer bot
"JUST IN - BioNTech CEO: Upcoming vaccine for the #Omicron variant ""should be a 3-dose vaccine.""  @disclosetv https://t.co/Ko7kGrIVYf"
It's illegal to predicate children’s access to education and ability to participate in recreational activities on r… https://t.co/l1oqDVX7qh
I could have saved my $80 from getting a blood titer and just received the MMR vaccine doses. I asked why I wouldn’… https://t.co/I9jMiNjorV
The Senate narrowly approved a resolution to nullify the Biden administration’s requirement that businesses with 10… https://t.co/ZzvFooaFLw
@maddow How about the vaccine? Your breath may offend people but Covid can kill them.
"Got my vaccine booster today and honestly the side effects (arm soreness, general fatigue) were far, far less this… https://t.co/NksyU7Bun2"
@DeseretNews @bethanyshondark @DNewsOpinion That's one hell of a hot take. Refusing a vaccine for reasons that have… https://t.co/EY5Njf1by8
Senate issues rebuke of Biden's workplace vaccine mandate https://t.co/d2hSknovqt via @politico Democrats fight to… https://t.co/1btOaErvtM
The Senate voted Wednesday night to overturn the Biden administration's proposed rule that large private employers… https://t.co/8NkP99DeIK
@janeelisabethh I had Moderna 1&amp;2 and just got my Moderna shot at Rite Aid today. You can walk in between 2-3pm at… https://t.co/8zC2OIokHZ
Dunno if it’s been said yet but we are in the Ford F-150 Final Five brought to you by @moderna_tx and @Bugatti - ti… https://t.co/t5NFKkyQuL
WTF!?  Accountability for @pfizer @moderna_tx https://t.co/iLD2avMTyk
@NiaLovelis Vaccine side effect confirmed Lmao
I spend a few days away from Twitter and come back to find that Dr. Simone Gold and her boyfriend are telling peopl… https://t.co/uhjDoLFAtz
School district hosts vaccine clinics for children 5-11 https://t.co/HU9DopdLiP
@RosinaMostardi1 @newsmax You supporting killing of innocent babies  with no choice is completely different than fo… https://t.co/eHVW04PD1q
What’s in your special sauce @pfizer ? https://t.co/orZI0jrOak
"@Breaking911 Is this guy for real. Which vaccine company does he own? Better yet, which vaccine companies own him?"
AND THIS IS COMING FROM 💩- HEAD SAHIN WHO IS THE INVENTOR OF THE 🖕-UP PFIZER 💉AND WHO REFUSES TO TAKE HIS OWN 💉‼️… https://t.co/omQIT9fhEA
GOP Death Cult at work again - Senate votes to repeal key Biden administration vaccine and testing policy https://t.co/V8CJxsjALo
"@MitchGerads This is what they're going with as the issue with the virus?  So what's worse in this crazy equation,… https://t.co/urHdvFvG0l"
"6 Pack: Pfizer-BioNTech plan another 3 mRNA shots for Omicron, by @JordanSchachtel https://t.co/lDoYLl9a4j 💉☠️💉☠️💉☠️💉☠️"
TV show deletes poll after 89% oppose mandatory vaccination  https://t.co/nQuUMOiS0H
@Mayhem4Markets I continue to be fascinated by the market's reaction to the vaccine manufacturers' on news like thi… https://t.co/MfcU2VN8kM
"@AliceOllstein I like the accurate descriptor: ""Vaccine-or-test mandate"". Wish the media would use it."
"The update is it's a fucking disaster. There are currently over 600 school outbreaks in the US, and in my own count… https://t.co/pCg99KpVJu"
@rj1975 I got my booster shot a week ago. Absolutely no side effects. Good luck 👍
"BioNTech, Pfizer vaccine neutralises Omicron with three shots https://t.co/XY9CiCgqve"
COVID cases spike even as US hits 200M vaccine milestone (from @AP) https://t.co/XcMO8x78Kz
"@MikeGrimala But Mike, it was the vaccine mandates that prevented fans from showing up at Thomas&amp;Mack"
School district hosts vaccine clinics for children 5-11 https://t.co/pQsU6DUR0Y https://t.co/kR1wtUa4hc
Gross Disservice: Oklahoma AG Slammed for Idiotic Vaccine Comments https://t.co/a65S4RwoAK Republicans make their i… https://t.co/54Xu8MAOFc
"Contrary to my belief, the side effect of COVID booster shot didn't kick in right after I took it. However, I start… https://t.co/06wWFaPThD"
@imjdsharp @MikeGrimala No vaccine mandate and I don’t see many wearing masks either.
"This game is at Mandalay Bay with no vaccine mandate. Maybe there should be, though--UNLV's home games with the man… https://t.co/drmTgOSEGL"
@RondoPG_ @brownsugaa_J @EL_EL_3000 @caribeanpirate @mikejbabcock They can’t know how serious illness would have be… https://t.co/wZs4Shgkc1
@MikeGrimala I would be there if there wasn't a vaccine mandate.
@Incindery1 I can't with the profile pics of all the comments on there.   Thought they were checking vaccine cards.… https://t.co/getsXmmX0o
Note how Manchin has no issues w a majority vote 4 anti science vaccine stance - championed by mostly white rural m… https://t.co/LLUJJ2u17q
@ChibiBuizel @Sen_JoeManchin Also not ending are vaccine boosters.  Just got the third jab and Pfizer is saying get ready for #4.
"SO WHY IS 💩- HEAD SAHIN, INVENTOR OF THE PFIZER 💉, AVOIDING HIS OWN 💉⁉️⁉️ HEY SAHIN 💩- HEAD…WHAT IS IN YOUR OWN 💉 T… https://t.co/c112kMhfiF"
@MikeGrimala Tickets weren’t too expensive and they can’t use the vaccine excuse now. Shameful.
Russian asset: “Why not try weed killer? Or paint thinner? Or Aunt Millie’s rheumatoid pills? Anything but the safe… https://t.co/vPtG0QgzFw
Today my grandpa and I went to go get boosted and it felt bittersweet - I’m thankful I still have my grandpa and my… https://t.co/BhZO2O1y8i
Earlier this year I lost an amazing woman that I considered to be my mother in many aspects. My grandmother caught… https://t.co/laitIAhWU6
Senate votes to repeal Biden's vaccine mandate https://t.co/02snuI4AaB Republicans working over time so covid sprea… https://t.co/RBKreP5IdD
"@B52Malmet @NthnGd4 So true! Pandemic expert, Laurie Garret said it would last around 3 years. I imagine 4 or 5 yea… https://t.co/1zgRei6rXu"
@MayaSmi60344239 I understand your stance on this vaccine.But sharing a tweet with no details to back up the claims… https://t.co/lCQJJbPDhc
I made my appointment for this Tuesday afternoon for my booster shot.  💉💉💉💉💉
Arena is empty. So much for the vaccine excuses. Lmaooooo
"@alok_bhatt @NavroopSingh_ Even if he’s 1% correct, i want ppl to make informed decision. Don’t get me wrong, me n… https://t.co/gX9EzC0l1Q"
Joe Manchin Helps GOP Shoot Down Joe Biden's Vaccine Mandate for Businesses https://t.co/TgVxNABNrs Manchin &amp; Repub… https://t.co/UsAj5aTUHr
Teacher Kills Three Daughters and Wife After Her Bosses Discover Fake Vaccine Card He Made Her https://t.co/YyCTYGi8hb
Getting the Moderna booster despite getting the Pfizer vaccine.  Flu shot too. https://t.co/3S0QtwtTNH
Lucky #4🤣  https://t.co/Bx7fyIoQzX
Senate votes to overturn Biden vaccine mandate for businesses - CNN https://t.co/lazKxax0Qi
SHUT THIS 🖕-ING SCHOOL DOWN AND ARREST THE SCHOOL ADMIN &amp; STAFF INVOLVED &amp; PUT THEM IN THE SLAMMER‼️👎👎🤬🤬💩💩 https://t.co/p8JbAQJkSk
"@SpingusManingus My man, proving natural immunity will NOT, in the US, immunize one from the grasp of vaccine manda… https://t.co/RO2cXbDlOU"
"@rj1975 Getting my booster (Moderna) tomorrow. My aunt said her arm was sore for a few days, swelled up a bit at th… https://t.co/UynM3q4Zsd"
"Got my #CovidBooster today! Originally got the #Pfizer, so I decided to mix it up and get the #ModernaBooster! Brin… https://t.co/RtNLM37uFb"
@MichaelVSmith3 @Masked_Rebel They have identified a vaccine for Ebola recently and it’s the most viral strain which is historic.
Senate votes to block Biden vaccine mandate — but measure unlikely to become law - CNBC https://t.co/QB0P4ZwTcw
"In a largely symbolic move, the Senate votes to block Biden's vaccine-or-test mandate https://t.co/T4El3JhSrB"
A free #COVID19 testing and #vaccination clinic at Frank Ogawa Plaza in downtown @Oakland abruptly closed its doors… https://t.co/pmcVnhQZ0W
"@LadyCaga8 New VAERS Data as of Nov 26th, 2021 (posted Dec 3) 21,154 Deaths and 997,322 Adverse Events 19,532 Pfize… https://t.co/9oRt1mP6mu"
Pfizer vaccine: Protection against Omicron coronavirus variant improves with three vaccine doses - CNN https://t.co/9ptAuZvAoK
@DonaldJTrumpJr Would love to the vaccine data in 75 hours. #maga2024
"OK, so booster shot update. I feel like I'm dying."
Anyone have any more than mild after effects after the Pfizer booster? Wondering if I should reschedule.
"@HeartlandSignal I was going to say the Senator must own stock in Listerine, but Pfizer owns Listerine, so...🤷‍♂️"
@great_martis Yep. Buy Pfizer shares
@SoMeCME @DrRanaMcKay @brian_rini @pfizer Awesome job @DrRanaMcKay and @brian_rini
"Open SmartNews and read ""Senate votes to block Biden’s vaccine mandate for businesses"" here:… https://t.co/CFCpSG6Xvw"
"TY @glennbeck for your in-depth investigation on @TuckerCarlson into the origins of #ChinaVirus and #Fauci, our gov… https://t.co/ajpMyzsZvA"
@milasturnwheel My cousin in Trinidad won’t get the vaccine cuz his friend got it &amp; became impotent. His testicles… https://t.co/EYS9lonwbT
@guynormanbee So many uneducated hacks rather than just telling people to get the damn vaccine!
"F Manchin. F Tester. Their vote is moot. The House won’t pass this Republican Covidiocy, &amp; even if they do, Biden w… https://t.co/in3lPUvjCP"
@RebelAlum90 @Masked_Rebel I love the fact that mRNA vaccines can be developed in only a few months. Human testing… https://t.co/5mDA2P78FD
"Senate passes resolution to repeal Biden vaccine mandate, with help of two Democrats https://t.co/V7aN2e34qE via… https://t.co/XK0ngqCVKw"
@Sen_JoeManchin You voted against the vaccine mandate… https://t.co/C7VAKY7Lls
@JamesKnight777 @MSNBC Like it's the only vaccine mandate ever made and Osha never made a rule
"COVID-19 Vaccine Clinic modified hours for Thursday, December 9.  • Chowchilla Dollar General (1750 Robertson Blvd,… https://t.co/z4uIAKaxMZ"
@bruce_mcgonigal Comparing #Coviddeaths to the #Holocaust holds up bec #Fauci and #BigPharma collided to outlaw pha… https://t.co/RqmgiM46oW
"Open SmartNews and read ""Senate votes to block Biden’s vaccine mandate for businesses"" here:… https://t.co/kFvLOYkFa5"
"@BanannaSpanna @markones111_ no, it's not the same. mRNA is a brand new technology never used before and as we see… https://t.co/PL99oSb1kP"
"Senate passes resolution to defund, repeal Biden vaccine mandate https://t.co/VLc5qh9OgC via @nypost"
"@SpingusManingus Clearly, I do NOT believe ""the only people that are protected are vaccinated people"".  But that is… https://t.co/mISSdDXXNK"
Because it's more important to keep those workers making our toys. If some of them die 🤷‍♂️  Senate votes to repeal… https://t.co/qC2qoceTEL
@SenatorTester You voted against vaccine mandates… https://t.co/0yadKgI1lu
Turns out Moderna partnered with China to produce Covid-19 in a lab in order to fund the mRNA vaccine program that… https://t.co/BpzFK2KCxM
Senate rejects Biden’s vaccine mandate for businesses https://t.co/hWTT8JKm5h
@moderna_tx Turns out you guys partnered with China to produce Covid-19 in a lab in order to fund the mRNA vaccine… https://t.co/dj0aC3xixR
"This is just the beginning,   Japan Health Ministry warns Moderna &amp; Pfizer China-Virus vaccines causing heart infla… https://t.co/FnSNvNYg02"
"""Pfizer says new study shows that three doses of its #COVID-19 vaccine protect against the #Omicron variant""… https://t.co/CEG6cbnMLK"
"@SpingusManingus At least half (probably much more) of the population has long since been exposed to SARS-CoV-2, an… https://t.co/iAwS7Wq6Xx"
#Breaking #BreakingNews   More people coming to their fucking senses!! About damn time!  Remember: The… https://t.co/S3wZghQrO8
Tehama County Public Health to host holiday-themed pediatric vaccine clinic https://t.co/W8UQEbzdD9
"@Pfizer says new study shows that three doses of its #COVID-19 vaccine protect against the #Omicron variant""  https://t.co/FESJNW9uYq"
My head is kind of spinning after watching the last part of Glenn Beck's interview with #TuckerCarlson about… https://t.co/m3SA6Rv9o8
@Justaranch Squeaky wheel gets oil. Tell the VA MD: it's malpractice for them to give a senior citizen a plain wrap… https://t.co/oXXaoGN387
"Just don't get a vaccine Marsha if staying healthy isn't a priority. Oh, you have been vaccinated haven't you? https://t.co/zZme1XQO8v"
@MKerklin Straight Moderna x 3.
"Senate passes resolution to defund, repeal Biden vaccine mandate - NBC News https://t.co/yeNaB9y3bL"
Senate votes to block Biden vaccine mandate — but measure is unlikely to become law https://t.co/vtd5BzH5Ra
WHO warns against vaccine mandates - https://t.co/kws6qGfzNs
Look at this news article from The Daily Caller: Senate passes measure nullifying Biden’s vaccine mandate on large… https://t.co/ldAp9kJYL2
We just need to elect more Senate Democrats! https://t.co/1nEuNcTH5K https://t.co/PR85RizdUH
The logic of vaccine mandates:  THE PROTECTED NEED TO BE PROTECTED FROM THE UNPROTECTED BY FORCING THE UNPROTECTED… https://t.co/MA2EG3F7Aw
Do t nobody give a shit about your weird #Booster shot. Come back with an announcement about a real accomplishment
"Senate passes resolution to defund, repeal Biden vaccine mandate  ""It was supported by every Republican and two mod… https://t.co/x2pKPQpwYX"
The Washoe County Health District is hosting a series of pediatric COVID-19 vaccine clinics in our area over the ne… https://t.co/SS76RJKHAy
"@imillhiser As a result, I'm quite skeptical when I hear these same legal types today assuring us that vaccine mand… https://t.co/vDAQqCMnop"
Moderna booster tomorrow!! https://t.co/saBRdY5ulU
TEXAS is surprisingly able to hold on to conservative values within government. At least so far. One never knows wh… https://t.co/2RUL2bu875
Your base was not sufficient to elect you in 2020! The crazies are only 30% of the population! You and the GQP are… https://t.co/wMoT8VaIHT
Don't you just love this? And Biden helps them fill their pockets based on a vaccine that doesn't work. https://t.co/CNftrbsdTF
"@abicht @freep How about this: if vaccinated, you can go to the hospital. If unvaccinated, you can go to a prayer t… https://t.co/w8QNGAForV"
Last night I had a date.  Today I got my booster shot.   That's a good start to the week.
the only people angry about this are the ones who are:  -profiting off of vaccine injections directly (pharma/“doct… https://t.co/z5pFoLKhHN
Which COVID-19 booster shot should I get? Your questions answered https://t.co/V7Ji061VGH
@MissElyssa92 @EmilyVirginOK The vaccine is available free. Many places to get it. Low income is no excuse
@thomasmidleton @BoulderDaisy @nytimes It is not the vaccines. A lot of my students were glad to be able to get the… https://t.co/FdVPfiINc0
Sign up for the Blac &amp; Bleu Book writing contest and ibmit thi article for entry https://t.co/rZsgTJpeyT
"The emergence of #omicron is more evidence that global vaccine equity is needed, says @MonicaGandhi9. #VaccineEquity https://t.co/nzlZsjUVmS"
That Moderna booster be hittin like  a mf
"The woman who does electrolysis for me: “that damn vaccine just killed my mother”  Me, unable to argue because it w… https://t.co/2dFAkB6uhg"
"@hentailogic Personally I got the one dose J&amp;J early on, knowing it was a risky experimental drug, in order to put… https://t.co/cLXbQr3VXe"
@macroliter @virusninja Ok just curious. I disagree (so does CDC) on your statement about vaccine immunity being na… https://t.co/MOVdT3wlZv
So it took less than a year to make and they’re waiting for anyone who took the vaccine to die before telling the t… https://t.co/KPpaPMd2NF
"@Undergroundcou1 If I understood correctly, there was a concern in the UK data that, after vaccination, those expos… https://t.co/1YauGvURTi"
"No. The Courts can also permanently stop Biden's unconstitutional, immoral vaccine mandates. And they will if Congr… https://t.co/2xZmIIP93y"
"@JoeBiden  ""Nothing says 'Trust the Vaccines' like the FDA announcing they will take 75 years to fully release Pfiz… https://t.co/DuximtCRaO"
Fauci now recommends tenting your house for holidays and asking for proof of vaccine!!https://t.co/BvW7CBEIpV
"@HelenAarness @8NewsNow No, she works because Hollywood is being responsible testing sets &amp; actors. As they don't w… https://t.co/Hio3SAm5xJ"
@FOX5Vegas @JaclynFOX5Vegas The flu vaccine has a 60% success rate everyone I’ve personally now who has ever gotten… https://t.co/lbaazw2zWg
I hate giving this guy more social media circulation but this is so funny. You’re telling me it’s emasculative to g… https://t.co/HI9Z5YUYvb
@ChuckCallesto Which means by the time everyone find out what is in the vaccine that by then is killing everyone they will all be dead
@jhncolwell @kaitlancollins I don’t need a vaccine to make you feel a certain way. Sorry. How is this political? I’… https://t.co/ZUNq7JK200
@Dbmartin55 @attorneyconrad @Lainger66 @Lukewearechange Also my doctor says I carry the antibodies for the Covid st… https://t.co/JwGsPSLKIV
@attorneyconrad @Lainger66 @Lukewearechange That’s because it doesn’t fit their narrative. They believe in governme… https://t.co/CLirOqjry6
"- Due to variants, we ill never achieve herd immunity. - We have to get vaccinated to attend school - Getting vacci… https://t.co/OGkPhrMTsi"
Pfizer says a booster dose of its COVID-19 vaccine appears to offer important protection against the new omicron va… https://t.co/UletOMRRiL
If you test positive you have to get the PCR test which takes longer than 2 days to find the result.   Tests are pr… https://t.co/GnOMyfdAbh
@viewsofac @dpakman I dont think its some stupid crazy micro chip. But it might be saline? A placebo? Of some sort.… https://t.co/aCxCnC9dPp
Overnight Health Care: Pfizer booster may be crucial against omicron https://t.co/3081WhgrMf -- ABC says it may not… https://t.co/ecJHSA0NIH
COVID cases spike even as US hits 200M vaccine milestone. https://t.co/UBG59YXq3c
@Masked_Rebel Maybe because Biontech makes the vaccine and has smart people who can read virus roadmaps and how the… https://t.co/DWZtZPEddN
This thread explores just how rare these vaccine injuries are. https://t.co/0QtfldmZjV
FDA Says It Now Needs 75 Years To Fully Release Pfizer COVID-19 Vaccine Data | ZeroHedge https://t.co/qtO3XBw857
BNT162b2 Vaccine Booster and Mortality Due to Covid-19 | NEJM - https://t.co/AYqoWxzNit https://t.co/0GXq7ncys2
Vaccine mandates are NOT the answer. Our students are struggling and our country is facing a historic labor shortag… https://t.co/z87585wIPd
No Vaccine Database-Senator on HELP Committee (yellow state) https://t.co/qOaGwVXIIb #NoVaccinePassports… https://t.co/HLQHnLS9SN
@CA_Dem Should also have the right to choose to be vaccinated with the Covid vaccine as well.
plant… based… vaccine…?? those three words shouldn’t even be in the same sentence. https://t.co/mSzvigovJS
Senate aims to reject Biden's vaccine mandate for businesses. https://t.co/AIcEifJ6l1
@POPATnotPopehat @kksheld Exactly why this “vaccine” won’t help in the long run. Thanks.
Yes Vaccine Passports  #NoVaccinePassports
@tesseract72 @BobsDog4 @CChampion_Z06 @crazyjo43424351 @AngryFleas @InfoGuru16 @f_kyburz @NickDone8 @dulcieburt… https://t.co/v0PWXos7xI
"@JoeBiden I am so glad that Kids 5 and older are getting the Vaccine , I thank all the Parents who are getting ther… https://t.co/eaMUCoa6D7"
“Las Vegas Metropolitan Police Department Lt. Erik Lloyd and Civilian Employee John Melwak died last year before th… https://t.co/ilMgYhUA3o
Not the Gardein vaccine https://t.co/p2vTJzqZGz
@SenatorHagerty Let me understand. You are against the govt from telling you what you can do with you own body? You… https://t.co/CspWHuVQI6
Senate aims to reject Biden's vaccine #mandate for businesses. https://t.co/7OBc61iiZu
"Amid Push to Vaccinate Children, Other Challenges Deluge Pediatricians https://t.co/uUTByeShlD via @noahweiland @nytimes"
@PhotoThoughts1 @2042fanatic @Windhorse_1 @StrongAguirre @GlennYoungkin Nobody told me all I would need is 2 doses.… https://t.co/CwTwimp88e
@ChelsIsRight beyond vaccine 😭😭😭
MedCad's SARS-CoV-2 Vaccine Control Group is a long-term study that seeks to provide a baseline of data from unvacc… https://t.co/4ItCHQzyfr
@policing_uk @JoeHutzal @HorstHighcross @Tony__Heller @Alan777774 @questauthority @Suesue2point0 @Kolyin… https://t.co/jBaHHWqnlo
@Suzierizzo1 It's a vaccine OR testing mandate. The media aims to stir people up by insinuating that forced vaccines are involved. 🙄
Kim Iversen: NEW Novavax Vaccine Could Be The Answer To Jab Hesitancy https://t.co/VkmABiQ0rK via @YouTube
@DanLairdMD RFK Jr. said in a recent interview that Trump received a payoff from Pfizer in 2020 to steer clear of a… https://t.co/4W228HRxc9
@suzthemoment Moderna is giving boosters if this what you're referring.
"Yo, @potus, it’s imperative that if these mandates are allowed to continue that we have more vaccine choices. Why d… https://t.co/vqBSDTxt54"
Judge Stymies Vax Mandate: Federal District Judge Stan Baker on Tuesday issued a nationwide injunction against Pres… https://t.co/ufMn1zRTeY
@JoeBiden Funny though never mentions of all the children suffering from severe side effects of the vaccine
@HorstHighcross @Tony__Heller @Alan777774 @questauthority @Suesue2point0 @Kolyin @Kathmarval @AGoldsmithEsq… https://t.co/niZhevVz7l
"@Justaranch Make an appointment 1st of the day; 7AM, wear mask until DDS has hands near your mouth, put back on in-… https://t.co/Dnxahhs4VV"
Ahhh the Beyond Vaccine https://t.co/OahAK94Ipz
"It takes a special kind of delusion to ""like"" anything about any of these viruses. Rational people dislike all dang… https://t.co/ob9OCawLcB"
Getting the booster vaccine 😬
@pfizer Devils
"What led to the poll results: working to weaponize religion, and attacking abortion, same-sex marriage, voting righ… https://t.co/HpwPd1th3J"
@StevenIHaglund Morons?? Dude you're over weight and worrying about some one taking a vaccine. Stay in your lane an… https://t.co/k2vwKPYsfJ
Anti-vaccine activists. Going to people's home and stalking them and their children. Because that's how they roll. https://t.co/aAqM0XHehd
"I would have preferred that the booster shot protected against remembering Paul McCartney, but I guess that'll come… https://t.co/GOGB0fPvhA"
"34,000 L.A. students don't comply with COVID vaccine mandate - Los Angeles Times https://t.co/eDnJKSUjpk"
@youkillmyfather @KingsBIuue @OGprisonmike @ZachScheimer @PatMcAfeeShow @danawhite So in the end if you feel safer… https://t.co/7uRnAkYAJf
"@PrisonPlanet @dirtydiscooo Mandates worsen the issue, fixing immune systems instead helps for real, but doesn't help vaccine profits."
"@SenMikeLee No, you're #ProCovid. Either you want covid to get manageable, or possibly end, or you want covid to co… https://t.co/DNUuLyupbr"
@SportsCenter @wojespn The vaccine and booster are effective at preventing serious illness resulting in hospitaliza… https://t.co/rTEvCNMKTp
A federal judge recently blocked President Biden’s administration from enforcing a COVID vaccine mandate for employ… https://t.co/EaMKC37YiI
