@GreenPartyUS No Mandates. No Vaccine Passports.
"@meander Yeah, I wanted Moderna, which is harder to get here. But I have Kaiser and they have an ongoing vaccine cl… https://t.co/M759WGO4r3"
Covid News: Over 200 Million Americans Are Fully Vaccinated  Pfizer and BioNTech said that two vaccine doses alone… https://t.co/xujdhRAc7p
"@crampell If we are going somewhere, we gargle mouthwash before we put on a good mask. I will also sometimes put a… https://t.co/Gxfnr5qkjV"
"@partar400 Additionally, that suggests he’d get tattoos commemorating them… but  moan about the vaccine??"
Senate passes resolution to overturn Biden vaccine mandate  https://t.co/1DHN2MgUIQ
"@crampell Not that I'd advise anyone to take medical advice from politicians, esp anti-science ones, but there is s… https://t.co/0euysVuMBL"
"""The final vote was 52-48. Two Democrats, Sens. Jon Tester of Montana and Joe Manchin of West Virginia, joined thei… https://t.co/BhUbWY7LJN"
Senate Resolution Rejects Vaccine Mandate for Private Employers https://t.co/o1PMiNUjjN
Update: the vaccine did not in fact make my boobs bigger but @GrandeLASH did make my eyebrows finally go back to ho… https://t.co/39W32dpkny
@JOEL9ONE Moderna as well. #3 very sore arm but that’s about it.
"The problem with medical exemptions for vaccine mandates is that most people don't understand them, which results i… https://t.co/jRCUGcOX8o"
"Dear Republicans,  The same people who are busy polishing Putin's knob (Fox News, Newsmax, etc) are the ones tellin… https://t.co/C6Ciq6Ti5Q"
@JoshKellams @CamilaOrtiTV Pfizer dose 2 kicked my butt but the Pfizer booster went surprisingly well. A delayed (n… https://t.co/2KzZ4XzPb0
"@SenatorTimScott A vaccine mandate is a threat to public safety? You have to tow that party line I guess, Senator.… https://t.co/jLwJCya7c4"
"Maybe I'm alone on this, but this seems a bit excessive. I'm fully vaxed and still wear my mask out. Studies show t… https://t.co/8IbCjFSjXK"
"@theysayitsrare 3 cases of trigeminal neuralgia (none reported) following each vaxx completion: Moderna, Pfizer, J&amp;… https://t.co/QOl7Qs77t1"
"@JillSolvolver They are pushing an agenda on every media platform every movie tv show,it their vehicle,the human an… https://t.co/T3EcThQlNi"
All my @megynkelly suspicion has been lifted. She totally challenged her guest about the efficacy of the vaccine. A… https://t.co/t9juxiXWvc
@JayFosterSavage @thehill The omie what ever came from covid and the cold mixing. That why doctors are scared.When… https://t.co/aP2NW3W83O
@silasloan I can’t wait for my fourth booster shot so I can get Taco Bell and call it Fourth Meal Booster.
US Senate Votes To Block Joe Biden Vaccine Mandate https://t.co/QjwW4Xsfo6 US Senate ... https://t.co/cx6Rdwqes5
Nigga got shot 2 times like moderna
South African Regulator Approves Pfizer Booster Vaccine After Surge In Covid Cases https://t.co/C0HNXo5rFa South Afri...
Anyone have a recommendation for a good marketing company that can help cover my upcoming booster shot on all my socials?
"@Wyn4You Hate to be a downer on this, but this meeting was on September 17 and the FDA has not done a flipping thin… https://t.co/GKyzobfDhe"
NO Business Vaccine Mandate. Biden administration suspends enforcement of business vaccine mandate to comply with c… https://t.co/dt5BRt7eCW
"When Trump had a Republican majority in #Congress, they did NOTHING but pass a lousy tax bill &amp; try to destroy Obam… https://t.co/JVu8iscIyH"
@HeartlandSignal Why not try everything... just not the vaccine 🙈
@defDamian It's 8pm. I just had to take a nap because the vaccine side effects were kicking my ass. But thanks lol
@vincentius59 @AGrumpyOldVet @duckscrootin Lol. A soldier wouldn’t die from a no vaccine. My little ones survived
This Pfizer booster and Taco Bell combo is hurting my body in all phases of the game
"Karma, for killing so many Americans with with their anti-vaccine lies. https://t.co/fBaG6ECnGW"
"1. Wuuuuuttt? Is Whitmer actually making sense?  2. Whitmer answers questions from the public. That sounds nice, ⁦… https://t.co/0yU9pptpA4"
"I don't think it should be a law, but I don't have any trouble with insurance companies treating non-medical vaccin… https://t.co/a1Mut8m6bl"
"@KGWNews Except for the people who got bad side-effects or died 😢 Also, Sweden halted the Moderna vaccine for people under 30."
@ScottAdamsSays @LegendaryEnergy certain enough to never take the vaccine and instead take my chances with the viru… https://t.co/AaXd76JPMO
@juandcartagena @MaxBlumenthal i definitely don’t understand how you think lockdowns and mandatory consumption of e… https://t.co/0ncDDDlG3S
@macryean ahh. gotcha. I did all Moderna but who the fuck knows. my flu shot this year fucked me up too. 🤷
@RickyPubes @MaxBlumenthal and you agree with pfizer and j and j. you’re crusading for big pharma profits.
@TheNarrator000 @MaxBlumenthal you have it exactly backwards. you think vax mandates lead to med4all? you think for… https://t.co/fShK3p2gMq
@PDXRivetersSG And a vaccine policy
@Rugbylad37 Indeed…and check out the Greek PM getting vaccinated https://t.co/Ze8N2A5TGv
The Indian government will not buy Pfizer or Moderna 'vaccines' as they declined to meet the U.S. companies' reques… https://t.co/wNnv6lPRSv
@LizLloyd I got the vaccine right after because I realized this was a repeat case and I had had them before very mi… https://t.co/xSvFMC8jMe
Finally got a chance to schedule my Moderna booster. How did y’all do with your booster? Any side effects?
"@bbfree4900 @AKF052 @RememberMeYeah @Trx1000 Lol please the Packers knew AR wasn’t vaccied, AB showed a fake vaccin… https://t.co/Fk7GCUfWjT"
"Oregon State University will be hosting a coronavirus vaccine booster clinic next week, Wednesday, Dec. 15 and Thur… https://t.co/l86kdWTf9B"
"@Rolf_5 Would you say that the conservatives who died due to Republican disinformation about vaccines are more ""fre… https://t.co/iZBUW9TvBO"
If I get 5 booster stamps on my vaccine card can I get a free coffee 🥺
@shaunseeBxr @DianaGi10419294 @telekinetica @2011teacher @AP Fortunately I don't have to worry about renewing the v… https://t.co/BSKu1vnAlC
@JewelResists @TheOGpianoGeek Got my first of 2 shingles vaccine as well.
@LisaLRoush Pfizer. I panicked lol
"@QuattlebaumLisa @DJScorpiones @therealbstemm01 @KATUNews Oh, damn.  I thought the vaccine created eternal life."
"@neoclassic911 @ChellyB71 @GreenPartyUS I mean, some vaccinated scientists are rightly concerned about the unfetter… https://t.co/sjXypNnfMv"
Its the pagan evergreen tree worshiping part of Christmas. Good thing @TuckerCarlson got the vaccine and the booste… https://t.co/B4qAQkbWeQ
"@ChrisMalm4 @KOLDNews Oh no! If only they could have done something simple and easy to avoid this! You know, like g… https://t.co/YpMWcpu8zv"
@Electroflxmusic @Lukewearechange The only icu or sick people I’ve personally seen is those within the first week o… https://t.co/4SiiNEF91F
@BrianOnWine Are there side effects from the shingles  vaccine? I need to get mine.
"@ghost_jerry see also: the tiniest, tiniest percentage of vaccine-denying ""medical professionals"" https://t.co/9r6rPq6YVs"
"@Manof4Truth @BernieSanders Really, MILLIONS?  I think you might be over-exaggerating there dude. Regardless, vacci… https://t.co/4dAzoHZXf3"
"Federal courts continue to push back against Biden, Judge Kurt Engelhardt says the vaccine mandate ""grossly exceede… https://t.co/GbdomkxgvN"
"Call your doctor if your erection for idyllic ""freedom"" lasts more than four hours.  Remember: The mandate included… https://t.co/f07yDlTQzo"
Here’s a look at free COVID-19 vaccine clinics for kids and adults happening in Jackson County.  https://t.co/eEIXvMF6O3
"@CorneliusRoemer @JanineKimpel @AnnikaRoessler @LydiaRiepler @doctorflew @imed_tweets I thought the same thing, wou… https://t.co/z1dvgsGddG"
tired: universal healthcare &amp; vaccine encouragements wired: weaponizing american healthcare inequality to brutalize… https://t.co/RVYB5mG25p
STOP Ransomware vaccine released to block encryption https://t.co/1Y4IFmh97C
The US Senate voted Wednesday night to overturn President Joe Biden's Covid-19 vaccine mandate for private business… https://t.co/CwUgu21Fbh
"this is extremely stupid, and tester and manchin both should have voted against it, but this isn't ""senate overturn… https://t.co/jysRsGD6ET"
"Charlotte LoBuono writes a nice history of mandates, and in every situation, the US courts are upholding a local or… https://t.co/SxuVsnFpr1"
Michelle Malkin: Inside the vaccine passport racket - https://t.co/1DycKRdqtA @michellemalkin #covidpassports
"USA has never had a FEDERAL vaccine mandate. US Fed courts upheld local govts enacting a mandate, but it's never be… https://t.co/DaTUOAKuao"
@RaleighBowman The truth is the majority of hospitalized patients for Covid are unvaccinated by a large margin(in t… https://t.co/EYM9JE2WiQ
These are non-school-based COVID-19 vaccination clinics. Many offer all three shots. Most require appointments. https://t.co/nhLbbTSrI2
The RW propaganda machine: -the vaccine is dangerous -the vaccine has killed thousands -the vaccine does not even w… https://t.co/UQ5BjLDeTW
These are non-school-based COVID-19 vaccination clinics. Many offer all three shots. Most require appointments. https://t.co/b0ZZ3NEldE
"@LucienMusique @virus_syndicate Yeah most studies so far say Pfizer isn’t very effective against Omicron, but they’… https://t.co/SNYGXnx80f"
"COVID-19 CASE &amp; VACCINE DAILY UPDATE –Wednesday, December 8th @ 4:47 pm (+/- since 12/03)  More information on COVI… https://t.co/sbt9036CxB"
"@glfceo They're still collecting data - what I've seen is Pfizer, 2 shots in the spring and a booster in the fall."
These are non-school-based COVID-19 vaccination clinics. Many offer all three shots. Most require appointments. https://t.co/rOU3ctaoTx
@NikkiMcR Seems like maybe the vaccine is a good idea then.
@votegriffin I got very very sick my every vaccine shot.  But totally worth it.  Can you work from home (bed)?
I believe vaccines are a scientific wonder. Substances preventing the spread of disease and making us immune to the… https://t.co/ag39NR5Grz
ah shit the Daiya vaccine bout to drop https://t.co/WNFfxIySkL
@delbigtree The similarities just are crazy that Robert Koch used government funds to develop a vaccine that didn't… https://t.co/Ku7uluQ4bc
Must have all had your REQUIRED “vaccine” https://t.co/12YdcUsdnB
Just a friendly reminder that if you are applying for a Vaccine Exemption it must be completed and submitted online… https://t.co/cqv4XKZukY
You should be able to get a booster shot at 7/11 no appointment the guy behind the counter just jabs you
"I am not into conspiracies but the same say the democrats are pushing for legislation against the  unvaxxed, the gr… https://t.co/VkJeIqAYv3"
@LisaDaftari 21% of LAPD and 44% of LA county sheriff’s department won’t take vaccine. Tell us more about the lunac… https://t.co/JCls19IM2j
Complete moron. No wonder the media won’t push back on a “vaccine” that won’t stop covid or the spread of it.… https://t.co/hvfJFmYhBJ
@sailorrooscout Chise - getting my booster tomorrow and was going to get Moderna having heard that mix and match wa… https://t.co/PIB5A0Or2j
@angrybklynmom God forbid your children too young for the vaccine be required to be protected from a virus that can kill them.
@ORHouseDems You're right. Mask and vaccine mandates be gone
"“I stand with Senators Tester, Manchin and the Republicans in the US Senate against the Biden/Wyden mask mandates o… https://t.co/Zk7XvNKueQ"
@UberFacts And if corrupted by a man-made vaccine? Then what? Do we lose the natural immunity over time? Are we the… https://t.co/fUwa6yJ1sY
Murray Bookchin would have supported vaccine mandates and there is no real good reason for social anarchists to opp… https://t.co/C1lYZf9BhI
@piersmorgan You know what's weird? Every year I get a flu vaccine and every year I still get the flu. Albeit the s… https://t.co/yzz3QlL0nC
@john_staymos30 Murray Bookchin would have supported vaccine mandates and there is no real good reason for social a… https://t.co/yT6se6jhQk
need myself a pfizer girl
"Yes, it’s safe to get the COVID-19 vaccine booster if you have mild cold symptoms https://t.co/fu4x9evbGK"
"@CabariK If only there were a safe, effective, and readily available vaccine."
Pfizer announced Wednesday that its booster dose of the COVID-19 vaccine appears to protect against the omicron var… https://t.co/329fYzXiBo
WATCH: EPIC - AZ Calls On Doug Ducey To End Mandates - Former Phx Chief Of Staff RIPS Vaccine Card - Unborn babies… https://t.co/hpjYwHEkfT
"@IsaiBCortez Pfizer executives this year, and next year, and the year after that. It’s a complete slam dunk for the… https://t.co/NnGwsEiDOd"
Democrats Take Stance Against Biden's Vaccine Mandate for plausible denial... https://t.co/aOvB4AZrhd
Booster update: I'm Pfizer x 3. I got my shot at 8 AM yesterday. My arm started to get sore around 3. Went home. Sa… https://t.co/QXtUONdmwQ
"WATCH: Dec. 8, 2021 #COVID19 update with Mayor Anne McEnerny-Ogle. Learn more about variant updates, infection rate… https://t.co/Gq9XtH7MyB"
"@ns0n I went with a Moderna Pfizz, that's a double of Pfizer with a single of Moderna and a flu shot on the side."
"@ns0n ""Moderna, neat. Make it a triple."""
"Ha. So ""No"" is the answer. I think I maybe muddled through Divination okay in my #DnDSpellReview but I am definitel… https://t.co/xH4Tx8EHCY"
Oregon is opening 12 mass vaccination sites statewide for walk-ins &amp; all 3 vaccines. The Wood Village site closes t… https://t.co/rryBYfJyB5
@PROPkills @Telegraph I guess it comes down to who you believe on this one. The study produced &amp; released by Pfizer… https://t.co/Z5ocmsFN2t
Republicans in the Senate are expected to win a vote — as soon as today — to overturn President Joe Biden’s Covid-1… https://t.co/zPh56zYnkn
BioNTech CEO: &amp;quot;Vaccine for the Omicron variant should be a 3-dose vaccine.&amp;quot; https://t.co/JrvPxj9s8X
It’s #NationalInfluenzaVaccinationWeek! Flu vaccines are a routine part of our lives that protect the most vulnerab… https://t.co/snAoxvFg9r
436. ALL of Biden&amp;apos;s Vaccine Mandate BLOCKED! https://t.co/vOcwmSFhh2
"I know everyone is tired, but COVID is not gone. Just had another person close to me get COVID thru unvaxed kid. Th… https://t.co/8st5fcCZKI"
"This is a bit misleading. I received a general discharge under honorable conditions, and all that got me was $10,00… https://t.co/kmuXrBMHQI"
@bernybelvedere And given that he's promoting pretty wild paranoiac theories about the vaccine being a subversive p… https://t.co/un2KNvMHZI
"Booster shot kicked my ass last night and is still kicking my ass today. Since I can't do much else, gonna try and… https://t.co/AiI0cYxkVg"
Los Angeles school district fires hundreds of employees who refused to get vaccine https://t.co/ZsEV2EjWi3 #FoxNews  FUK LA
Gonna be Ricked up for my booster shot
Is there a vaccine against wokism? I could support a national mandate for that even though I already have natural immunity.
"Doctor dies 16 days after Pfizer vaccines, was fully healthy before vaccination | GOPUSA https://t.co/ZKYVhFZ8bA"
@NikdoNobody @CamoGM @MikeSington Here's the Wall Street Journal article: https://t.co/lxduTOXg9L
Here's the Wall Street Journal article these are from: https://t.co/lxduTOXg9L https://t.co/gSFxolk0QA
"@trulovesuffers @Liz_Wheeler So does natural  immunity from recovering from infection, which  many have before vaccine was available"
I am boosted! Got my new Pfizer enhanced powers. Also hit Powell’s while killing time because I haven’t bought any… https://t.co/YWtxFJ3jPV
@alana_ell Not really. Look at the millions of Americans who are convinced the vaccine is a government plot. You ha… https://t.co/AwV5f1e98W
@BeingCharisBlog i had no clue there was a difference between 3rd dose &amp; booster; I've been willy nilly throwin' ar… https://t.co/ekvgVytpBS
"@UrsulaV Maybe my Pfizer didn't take, because I have feelings about Hawkeye. I got so mad about disability accommod… https://t.co/L7mOMMmrFm"
The #FDA not @pfizer mind U. Just asked the courts to give them til the year 2096 to disclose all of the documents… https://t.co/sHq4I1WzwG
"@UrsulaV I'm Pfizer, but so do I. So it doesn't remove the memory."
"Who WILL ultimately win the vaccine mandate battle that divides this country 50/50, and NOT neatly along party line… https://t.co/kyyB0F2OuT"
Los Angeles school district fires hundreds of employees who refused to get vaccine https://t.co/ZsEV2EjWi3 #FoxNews… https://t.co/1hst3YSUcM
"Stocks rise for 3rd day, Pfizer up on variant vaccine https://t.co/W1K4UveiEF #FoxBusiness  Funny how fast they cam… https://t.co/qXdfcwqLoa"
@Triag777 @JamesWebbMMA or are dying in icu. my hospital has ONE covid pt. A vaxxed (pfizer) lady who is dying on ventilator
"@Eskiworks My third Moderna hit me harder than the first 2.  I had fever/aches, and my underarm lymph nodes swelled… https://t.co/pbSRu1cfgg"
I really wish we were seeing more research on vaccine mixing. I hope this will be the last major variant but could… https://t.co/pb5XxNjFLE
FDA Doubles Down: Asks Federal Judge to Grant it Until at Least the Year 2096 to Fully Release Pfizer’s COVID-19 Va… https://t.co/pt9Df1AW7a
@TheGentleman_93 @MarginCall4 @EricTopol @sigallab Make an appointment to be vaccinated w/ Moderna (1st shot) at a… https://t.co/1MGrRDuHna
Where are all the supposed MSM journalists on this nonsense? https://t.co/Izo9IqzZ6u
Each tick of the clock is a tick towards death. Immediate surgery has a very high rate of success for this kind of… https://t.co/bpCD5OHdTP
BREAKING:  Oregon expects to launch digital vaccine proof card in early 2022 https://t.co/57XO45l0vm via @PDXBizJournal
"Stop by our free walk-in COVID-19 vaccine clinic at Downtown Library for the Pfizer, Moderna, or Johnson &amp; Johnson… https://t.co/6dVGQ35BRo"
"So, another impact of covid and the politicization of the vaccine. I have a friend who has a recently diagnosed mel… https://t.co/hkJfhnhMmU"
Wondering if you should get a booster? Wondering where to get a booster? Here is your one stop shop for more inform… https://t.co/sw13uw5hud
Oregon expects to launch digital vaccine proof card in early 2022: The move could mean the end of tattered paper ca… https://t.co/2VQ9ZsNB1r
"UK Advises Work From Home, Mandates Vaccine Passports Amid Omicron Surge https://t.co/55KmQxPxFX UK's Boris... https://t.co/JiSxo10nMu"
Pediatric vaccine appointments at the ballpark this weekend. https://t.co/YdRjAUPv9K
"@ShuggieBear3 We just lost our puppy to Parvovirus. Our breeder said the same thing, never had it.  Must be bad vac… https://t.co/xDA07Cqt5s"
"I already have a vaccine card saved in Apple Wallet (via Legacy / Epic MyChart), and I believe Android has a simila… https://t.co/rQEoXcRP7Z"
@NiceReedSteve Here is a good overview of Covid Vaccines and heart patients. https://t.co/NV9oydO8zY
@PROPkills @Telegraph My partner got all 3 Pfizer I believe.
"The CDC says that people can ""mix-and-match"" their doses. That means someone who initially received both doses of M… https://t.co/c9F5SYzPOt"
@POTUS I got my vaccines and the booster also🙏 people taking the vaccine! You may save your and someone else’s life!
Pfizer made the vaccine. Why would they lie about the importance of full immunity?
"Politico: Don't look now, but Dems ""souring"" on vaccine mandates. Don't let 'em forget they were for it before they… https://t.co/rJUV9QQLTL"
Pfizer wants you to be terrified of ANY infection because that means more boosters and more money for them. So have fun with that.
"Wasnt planning to get my booster vaccine today, but I just got it. Hopefully the symptoms aren't too bad this time"
Damn it feels good to be triple vaccinated.  https://t.co/1X7vhAhnNs
@ReportsDaNews Anyone know how much the vaccine costs?
No side effects on the Pfizer booster other than a sore arm. Big difference from the initial shots
"28 inpatients with COVID, 2 in the ICU, zero on a vent. Of the 28, 22 are not fully vaccinated. A person is conside… https://t.co/hR4K0lZNz4"
@Eskiworks I'm about to get a moderna booster on Friday. Thanks for the heads up. I'll stock up on Gatorade I guess.
Booster shot recovery day two: yuck.
"@MagBruin @RNCResearch Yes it most from the ones before the vaccine,How they know about long covid.not a doctor but… https://t.co/O6iRVPZd6o"
“Post-Pandemic stress disorder” is in fact Vaccine injury
New Vaccine Requirements to Cross US-Canada Border to Include Truckers https://t.co/QeAqZwigAS
"@sugarandaspirin @sailorrooscout @BlahdiblahErika What I’m confused about is the baseline, since the Moderna and Pf… https://t.co/MWd2wVaNEK"
booster shot done!!
"Update: chills, muscle pain, mild fever, nausea. I didn't expect side effects this time, but I had to take Moderna… https://t.co/VtqbTukfhO"
@INArteCarloDoss Straight talk from the veterinarian / horse doctor. https://t.co/3DsfhbMSUf.
".@HillsboroHops, OHSU to host vaccine clinics for kids ages 5-18   https://t.co/jB9rFwTV8t"
Had to drive to Olympia to get my booster shot then have to drive to work in North Seattle. I’m just  thankfully I… https://t.co/rO3Y4jnpdL
"Sitting in a freezing parking garage basement at a vaccine clinic putting in my 15 minutes, got my booster AND a fl… https://t.co/oFj3UuWpiz"
"ALSO JUST IN: Pfizer announces the 'Booster Shot Mini, Booster Shot Pro, &amp; Booster Shot Pro Max' products ahead of… https://t.co/a1oOquZGuv"
@GregoryMcKelvey I found that the CDC tested with full-dose Moderna boosters but the FDA approved half-dose booster… https://t.co/vjc8nHkSo0
"@Telegraph Oh, that's funny. They're blaming Omicron for reducing the antibodies in the Pfizer vaccine.  LOL.  I me… https://t.co/tTE57H9RON"
"""Previous infection, followed by vaccination or booster, is likely to increase the neutralization level and likely… https://t.co/9x05QDpIgX"
@Telegraph *sigh* Headline full of scare-tactic. Everything observed of Omicron so far is that it is more mild.  Bu… https://t.co/rwiEUT4USw
Fuck this vaccine &amp; anybody trying to mandate it
"Oh, that's funny. They're blaming Omicron for reducing the antibodies in the Pfizer vaccine.  LOL.  I mean, the vac… https://t.co/YI9h855q8J"
@RepNewhouse @RepFredKeller @HouseGOP I adamantly support the federal vaccine mandates. I do not support allowing s… https://t.co/NOyXRohOVj
Pfizer says a booster dose of its COVID-19 vaccine appears to offer important protection against the new omicron va… https://t.co/Sh747rGzmH
It would suck to get covid the same day you got your booster shot
"The Omicron coronavirus variant partly escapes the protection offered by the Pfizer vaccine, but people who have be… https://t.co/IzZqcsUiZt"
"This corrupt organization should be put out of business using the RICO laws.  ""The LA School District Is Now Bribin… https://t.co/nnv8VFAWg6"
@Judy_A_480 @turkishpolyglo1 @pwinkie @EricTopol @TheLancet Yeah I’m hunting for the same info that takes into acco… https://t.co/Y3t0enbhTJ
"Oh, one last thing.   A helpful guide for estimating your risk at any given event is here. It’s easy to use.   All… https://t.co/TB2wMxcUlb"
This article from SHRM highlights a recent survey that found that more and more employers are moving forward with v… https://t.co/NCpku2QTtE
@RNCResearch The vaccine been in too many people. You can't say it not safe. Your right not to get it over ruled by… https://t.co/jw3EEboSf7
"Luckily if this is COVID, my vaccine is kicking its ass because I only am having trouble with mucus and scratchy th… https://t.co/F9iJaptHTF"
"U.K. Government Implements COVID-19 ‘Plan B’: Urges Citizens to Work From Home, Introduces Mandatory Vaccine Passpo… https://t.co/KVlFpYQst1"
My biggest complaint about my experience getting the booster shot today is I didn’t get a sticker.
"Can we still have a celebration this weekend? Of course, so long as we hold ourselves and those around us responsib… https://t.co/i8G0nUNFq0"
@GregoryMcKelvey i did the same (modern booster/pfizer OG) and i hope you don’t have any side effects!
@michaelzlin Is there any chart like this that takes into account the 50 Moderna booster dose (I see your side note… https://t.co/MFgBD3UDw2
Looks like the people have spoken  CNN: Senate expected to vote to overturn Biden vaccine mandate for businesses as… https://t.co/DTtC1Xm5Gs
"@GregoryMcKelvey My wife and I are scheduled for this afternoon for the 3rd vaccine. We originally got the Moderna,… https://t.co/iHHvZixdRd"
got my Moderna booster today but also huffed some Pfizer poppers just to be on the safe side
Got my booster!! Decided to go with Moderna even though I got Phizer for first few doses because I’ve seen a little… https://t.co/Ka8eFyciIh
@Telegraph So we trusting Michael Bloomberg's news All the articles say that two vaccines will still protect agains… https://t.co/SoiEiqIn41
COVID cases spike even as U.S. reaches vaccine milestone - https://t.co/EYp86UX45L
We're teaming up with the @HillsboroHops to provide the first dose of the COVID-19 vaccine to kids ages 5-18 this S… https://t.co/z0jOaFkZ9p
"Even as the U.S. reaches a milestone of roughly 200 million people fully vaccinated against COVID-19, cases and hos… https://t.co/2PDnIh0GGK"
@SchreiberEvan @GenevieveReaume @pfizer @KATUNews I should call ExxonMobil to see if replacing my motor oil every 3… https://t.co/ou1NsbANXV
"🐂💩 do they really expect us to believe them!?  It doesn't even protect from Alpha, Delta, Delta+ or Xi!   ""Pfizer s… https://t.co/CpGJzp0Nh0"
"@Sealpup13 @TheCringle @Anna53678359 @AOC So by that logic, the vaccine isn't killing anyone either, because no one… https://t.co/tdpdT7Eqqz"
@USADontComply @CaseyEgg @TheCringle @Anna53678359 @AOC The disclaimer from that site explains the numbers aren't p… https://t.co/UlQp363vJ0
@jackiel37919116 @varnesyvonne @RaleighBowman Okay that’s like reasoning with people who refuse the vaccine because… https://t.co/CBkoxd4jgf
@EbonyJHilton_MD @BlueWaves2022 @moderna_tx @pfizer @JNJNews Is this chart accurate with the 50 Moderna booster rat… https://t.co/dWHztMTz88
"Crenshaw just voted for the federal “vaccine” database, has voted for red flag laws, is one of the World Economic F… https://t.co/DDleIvJg8a"
Get your booster shot!  https://t.co/NscSNPU3mX
Starting December 8th there will be a weekly COVID-19 pediatric &amp; school vaccine clinic on Wednesdays &amp; Saturdays.… https://t.co/Y4lKMEr8Zu
Pfizer says a booster of its COVID-19 vaccine may offer important protection against the new omicron variant even t… https://t.co/zXO3X6K7cw
I can't believe they didn't catch Antonio Brown's fake card sooner https://t.co/XdHEgohkyH https://t.co/C0yTO6HIMH
I would 100% take a vaccine that protected me against reactions to Marvel movies https://t.co/HdCZc3y5pk
Blood samples from people who received three Pfizer doses showed robust antibody levels against Omicron.
Covid Live Updates: Pfizer Says its Booster Offers Significant Protection Against Omicron  Two vaccine doses alone… https://t.co/Cjmriefv93
Yes the Post is a rag but Pfizer CEO says the booster will neutralizes Omicron so why is Pfizer making a booster fo… https://t.co/0g9AdG5jUX
@dr_kkjetelina Can you update the info regarding mix and match boosters as new info comes in? In particular regarding the Moderna booster?
"I'm really grateful my employer has a time off policy for recovering from the vaccine/booster, and an amazing manager with empathy."
"@MdBreathe At the end of the day, I don't think people claiming to be concerned about government propaganda on the… https://t.co/T0FwTXHTbq"
Mechanisms of SARS-CoV-2 Evolution Revealing Vaccine-Resistant Mutations in Europe and America | The Journal of Phy… https://t.co/lV3vhjXlOX
