On the first day of Christmas Fauci gave to me. A virus Covid 19.  Continue this song below
"Fauci Admits Africa Travel Ban Was Passed ""in the Dark"" and Says Government Is Reevaluating the Policy -… https://t.co/KZ4MJoVbIq"
Fauci doesn't know shit! https://t.co/Qc9Rx4BRtq
@SenRonJohnson @RandPaul is one upped by Johnson in the competition to stay relevant with the right wing media jackals by Fauci bashing.
@joao_f_pereira @GenoSacco @thoughts18 @aginnt Is this a Tony Fauci burner?
@blueheeler96 “That is not possible the only way you get protected is by multiple vaccinations of which I get a cut” Dr Anthony Fauci
"@bartooosh @WCCO Ahhh….good old science. Let me guess, you think Fauci is a God? The vaccines are not working as pr… https://t.co/KBmbpqdOSJ"
@stwilli @maybemoremooney @DrTomFrieden You rely on Fauci and the CDC? How many different personalities do you have… https://t.co/oh362cL4O9
Lord Fauci is disappointed https://t.co/iNucv0RvkW
@noreasonspec @CameronRenilson @Glaven1994 @SeanDeBoo I’ll trade Fauci for Whitty in a heartbeat
"@E_got_tweets Just had someone say this a week ago.  When asked when they were giving up the mask, they said when F… https://t.co/XmGxzv78fd"
I wonder if fauci is buying the dip… #tuesdayponderings
@JoeBiden what you done to the united states? You and fauci are developing these viruses to control the population.… https://t.co/BPeQ2HmEbt
Serious question.... What ever happened to the story about Fauci and the killing of Beagles?  Although if you are w… https://t.co/uTwqPxNqki
@libsoftiktok I thought Fauci’s boss was Soros?
@newsmax Dr Greg Murphy and people like him blaming Dr Fauci and the CDC for mistrust ignores his and his cohorts i… https://t.co/JEp9AgwKN7
@TomiLahren Fauci has discussed natural immunity.
"Not dying from COVID in the hospitals, dying from the Fauci protocol. EVIL at its highest level. https://t.co/4eYpfrJVVK"
"@Cutes811 Wait, there's no microchip in my arm they broadcasts to Dr. Fauci??"
"@empresshila most definitely, we started masking before it became standard because i was reading about what other c… https://t.co/cy5GlmiLIE"
"@Jim_Jordan Gym, real parents want coaches to stand-up and protect their student-athlete children.  Btw, gas is com… https://t.co/zrOfT55vyg"
"@disclosetv Why should we blast what #Fauci says when it supports us?  He has also said ""can't mandate,"" ""masks are… https://t.co/hLf5R01Wvz"
@KSTP Sounds like Fauci.
@pickleoodles @schraderism The problem also is that people like Fauci ignore the evidence and tell people they work… https://t.co/utORDvyztx
"@ebbandflow222 @ChristinaEman4 @TheRussianMafi6 @Deplorable_Bree @14ReyRey They do,  but some are entirely fiction.… https://t.co/MthiGXE3eB"
Are you ready for the beatdown 🥊 ? Tonight we present Dinkytown beatdown ! (12/7/21)  https://t.co/2wckV3unNR  Covi… https://t.co/DtyBBLYrM5
@ehforgetit @egrattan I get so pissed off when they attack Fauci. I swear I'd stand in the way of any one who tried… https://t.co/iQOKnoN5oJ
@purpleproze They no longer care about losing patients. They believe in Fauci keeping the pandemic going so long th… https://t.co/QaFIkyaCTn
"@trapo_jr Hi there. Walk-in service is offered on Tuesday, Thursday and Saturday (at offices with Saturday hours) o… https://t.co/JVFD31pgJd"
Biden should Fire Fauci  https://t.co/8qZInVwf4F https://t.co/ZmNvWLqoEN
Fauci literally admitted to @jaketapper that the government's Africa travel ban—a policy the head of the UN describ… https://t.co/o3bm293QKW
@vonschon @tedcruz I have more faith in my pet’s veterinary care for Covid than Fauci.
@disclosetv Even Fauci would say this is unscientific
@clammike One side: Covid is fake and created by Fauci/Gates in a Chinese lab to control you (but also fake).   Oth… https://t.co/DcijjVO1Tp
So Fox caves to Fauci and suspends Lara Logan for hurting little Hitler's feelings....F#@k you Fox News
"@kirumb I'm no fan of Trump's lying, but you are doing the same thing by saying he told us to inject bleach. Or imp… https://t.co/sflYEsdluG"
"Fauci says, with Omicron ""out there"", you should be fully masked at Holiday Parties (which are best held outdoors w… https://t.co/EXt6sBs3bN"
"""Harmless"" Omicron sweeps 100% Fully Vaxxed at party. Supplanting Delta! Making Vax Passports Absurd!. Could END Pa… https://t.co/UtQdPSMyLt"
@souljaboypellom @CupnRainThought @Quicktake Fauci needs to stop suggesting anything. He’s batting about .100 at this point!
"""Harmless"" Omicron sweeps 100% Fully Vaxxed at party. Supplanting Delta! Making Vax Passports Absurd!. Could END Pa… https://t.co/xZ4lUSbR2k"
"@SherryLWarner8 @ruggiere_l This is Dr Fauci and his wife, Christine Grady, who is Chief of the Department of Bio-e… https://t.co/kXALCkQTBf"
@AgeCosmos @DeePatriot1 Did you see that the NIH head of Bio-Ethics is Dr. Fauci's wife Christine? These are the tw… https://t.co/HNtmQrynI5
Who is in better position to give Covid advice? Fox News untrained idiots or Dr. Fauci https://t.co/Evu71pckV0
"@skillamayne The villain in ET is Dr. Anthony Fauci, who has injected a healthy little alien with AIDS"
An attack on the Fauci is an attack on science 🤣 https://t.co/mkwgeA7GV7
Fauci. Who has a higher government salary the POTUS. And spends a lot of time on liberal tv. Why is he not in his o… https://t.co/eYiwqEJ7wK
@corystieg Bro really now??? This has been going on for two years now. We need to move on stop living with this fea… https://t.co/egcW9Rge5T
"@ForsythRosalee @CNNSotu @amy It was not in response to Dr. Fauci except indirectly. However, to your second point,… https://t.co/etwOuplprz"
Jesse... How the Hell can Fauci state the facts in an interview when he doesn't know them?  #TheFive https://t.co/MRGTVB9vqY
"@SKOLMidwestNFL @BirkMatt Again. Good luck. With all your rants about Fauci, you sound like you’re obsessed in your… https://t.co/04jaEXJhUG"
@SKOLMidwestNFL @BirkMatt Wow. You really do have a Fauci fetish.
@SKOLMidwestNFL @BirkMatt Here’s your problem. You don’t really want a second opinion unless it disagrees with the… https://t.co/0CqaIVZwwB
"Fauci Dons Funny Hat, Declares Himself To Be Pope Of Science https://t.co/Nd66jDT1UX https://t.co/qO4ZsPBQxq"
No one should forget that Dr. Fauci lied to us in Spring 2020 about masks. He even admits this. He justifies it by… https://t.co/85BjeIJcSb
@8NEWS Ya know you really have to carefully read these conclusive headlines. HE COULDN’T AVOID INTERACTING. HES PRE… https://t.co/gZy7ICSMJ4
"This is SO sad &amp; it didn’t have to happen. COVID kills. It’s not a plot, a way for the government to control you, a… https://t.co/DSzOuWL5fM"
"@RachelG77278458 @Progressive_RN @denise_dewald Again, he LIED previously. How comfortable does that make ppl in tr… https://t.co/VVxauNVvFe"
"I'm wondering now, I wonder if Fauci is actually a Brown Jenkin???"
"Fauci Says Omnicron 'May Not Be A Big Deal,' It Will NEVER END https://t.co/rc1J2xc20h via @YouTube"
Dr. Fauci Isn’t Taking It Anymore As He Unloads On Sen. Ron Johnson https://t.co/3BZXiH76Ys via @politicususa
@chipfranklin I am so glad we have someone with the professional credentials Dr Fauci possesses. Plus the stamina t… https://t.co/KfgwA70H3H
...Prime Property Buys As Demand For Luxury Homes Surge  [CNN] Fox host doubles down on outrageous comparison of Fa… https://t.co/7oV07DJSH4
Dr. Fauci: Early Data On The Severity Of Omicron Variant Is 'Encouraging' https://t.co/Ah9YYJnS8d
"First data on Covid omicron variant's severity is 'encouraging,' Fauci says https://t.co/GFbIalY4T1"
@RachelG77278458 @Progressive_RN @denise_dewald Fauci - our government's TOP infectious disease specialist - said t… https://t.co/Lk39WodirK
Typical idiot why would Fauci want to go to the border. Abbott us so uneducated and ignorant https://t.co/o3Xm4ycB5g
"My ""independent"" quick engineering review of face masks. The micron diameter of Covid-19 virus versus the porous si… https://t.co/tONU3O8go8"
BIG BOOM!!!! Shove it Fauci!!! https://t.co/vMrciLiYpg
Sen. Ron Johnson Drops a Truth Bomb - Says Many Americans Died From Covid Because Fauci 'Sabotaged Early Treatment… https://t.co/1wJIIs9Pnz
Wow! FOX News Sidelines Lara Logan After Dr. Fauci Complains About Her Nazi Doctor Comparison https://t.co/LfribDoU1f via @gatewaypundit
"DEEP DIVE: #Covid Myths, and Why the Medical Establishment (Deservedly) Lost Americans’ Trust.  #ChineseVirus… https://t.co/zxgbFTeUKV"
"Awful, also there’s already fauci kids book because cursed. https://t.co/xqNz3BYlOa"
"@R1Glider @mdkatrsk Who, the names? Bill Gates/ Soros/ the presidents who supportWEF, Davos participants; in USA th… https://t.co/vxNHnhYnL7"
@SKOLMidwestNFL @BirkMatt Science was wrong about the earth being the center of the universe once but it changes as… https://t.co/nv2uGUUU61
"“Thus far, it does not look like there’s a great degree of severity to it,” Dr. Anthony Fauci said.  https://t.co/3OCpJOfAVL"
"Doug Ross @ Journal: Top 20 Tweets from BadBlue Tonight, 12.05.21: ""The Simple Facts About Fauci"" https://t.co/DetmxDVc4s via @directorblue"
Fauci says early reports encouraging about omicron variant https://t.co/vdtOhMALyP https://t.co/8fV58xgp7A
Omicron variant found in nearly one-third of U.S. states https://t.co/JY4epQtXNy
@WhiteHouse #Fauci mysteriously came of age in #1984 and today #1984IsHere Yes HIV/Aids killed many people and ever… https://t.co/0EXtFF804H
@WhiteHouse Yes you have a communications problem and #Fauci is part of the problem 🙄.  People are less likely to g… https://t.co/OFl8heM2Kp
@unhealthytruth I wonder if any good artist has made a painting of Fauci with a Pinocchio nose? It could be made into a bumper sticker.
"@WhiteHouse @ReutersWorld #Fauci said the ban was imposed at a time""we were inbte dark"", WTF, the ban was our in pl… https://t.co/lsLUlmPNjV"
@WhiteHouse @CNN Isn't there a U.S.  Sergeant General? Did #Fauci replaced that person? #Fauci need to be placed on… https://t.co/QTYOpOcq8M
@Brcremer Jesus gave all so we could be free. All my faith and freedom come from GOD and not man (Fauci)
@Brcremer NOT a church I would attend. WAY to much faith in man (Fauci) and not enough in GOD.....for me anyway......
"“Thus far, it does not look like there’s a great degree of severity to it,” Dr. Anthony Fauci said.  https://t.co/0au8xS65C3"
"As the delta variant continues to drive hospitalizations, concerns linger over omicron, a newly detected variant th… https://t.co/B9zz59C3Oh"
Ron Johnson is bat shit crazy &amp; he’s delusional as F making these dumb ass comments about AIDS not being as dangero… https://t.co/VedOaw7I1g
@DataDrivenMD The data is so patchy. Everyone is hoping for good news because bad news would be catastrophic. Even… https://t.co/N49Zd10XGo
U.S. health officials said Sunday that while the omicron variant of the coronavirus is rapidly spreading throughout… https://t.co/FICdO4uIKL
@atrupar Why the hell would Dr Fauci go to the border?  🤣
@SteveDeaceShow The answer is no.  Fauci is only interested in saving Fauci.
@EdsPurgatory Right: photo is propaganda. I would not say “ nobody cares”. I am really suffering. I compared situat… https://t.co/xg7IGePCJF
Don't miss out. https://t.co/AmA7oDRGmk   this 🤡 wants Biden and fauci for 2024 😂😂
@AltHuman7 @Dalmane15 @OpenVAERS Why did FDA want to hide their data on Vax development for 55 years? What was disc… https://t.co/Uq76DLWICi
@Dof_pop @anonymouspen87 @XlXSupernovaXlX @AnnaAmidei @kmode501 @thehill We can thank China and misinformation from… https://t.co/4eayCQPOxQ
"Fauci Blasts Ron Johnson for Accusing Him of Covid Fear-Mongering: ‘How Do You Overhype’ 780,000 Dead Americans?… https://t.co/4DRIOtk6Yu"
Dr. Anthony Fauci said scientists need more information before drawing conclusions about omicron’s severity. https://t.co/NCUb3umVmm
He's a murderer and killer Fauci needs to be locked up Fauci calls Ron Johnson's AIDS comment 'preposterous': 'I do… https://t.co/LQvSXCUKKB
"Omicron had been detected in about a third of U.S. states by Sunday, including Wisconsin. https://t.co/WukhZpFzlw"
@CtravelsC @StigAbell Every Fauci worshipper https://t.co/U24xpBf0iU
"“Thus far, it does not look like there’s a great degree of severity to it,” Fauci said. “But we have really got to… https://t.co/jAyV7Rp1g5"
Fauci says early reports encouraging about omicron variant https://t.co/3ar7IGG9iv https://t.co/IjJFf6DTSO
U.S. health officials said while the omicron variant of the coronavirus is rapidly spreading throughout the country… https://t.co/dJTcpX1nE1
U.S. health officials said  while the omicron variant of the coronavirus is rapidly spreading throughout the countr… https://t.co/3tnjkckdBB
@Isobel_Davies @BenGoldsmith @StigAbell They'll only believe you if you find a way to get LordGod Fauci to say it o… https://t.co/747aUgHOvG
"@Shelly69839779 @durnyank @kelly_rdc Shellie, I will know that you and those who feel a mandate is the answer are s… https://t.co/V0mcKT1SeH"
Fauci says early reports encouraging about omicron variant | AP News.   Thank goodness!!! https://t.co/VEcZptNAr1
@patriottakes Fauci is the GOP scapegoat for their own negligence and incompetence.  It’s not gonna work.
@DonaldJTrumpJr Fauci needs to be remove .
MAGA hatred of Anthony Fauci goes from bad to worse https://t.co/Z5VXHAX5lT
Ron Johnson brutally flattened by Anthony Fauci for claiming he 'overhyped' the Covid-19 crisis https://t.co/Sxjrf8YBgY
FAUCI: “It does not look like there’s a great degree of severity to it.” Did not see that coming. He's urging cauti… https://t.co/N86Ez2I6aW
"@MulshinePancho @TheRightMelissa So fauci should pass on, right? Cause he's the one who funded the GOF research and lied about EVERYTHING..."
Ignoring Fauci: Florida Top In US In Fighting Covid! Dick Morris TV: Lun... https://t.co/IbIw1SCNG2 via @YouTube
"I had to look up all these references.   Think what you will of Fauci, but I’d say the Mengele reference — as with… https://t.co/k8plBtWcLx"
@DonaldJTrumpJr @joerogan Anyone with a stable mind is still better then Fauci.  I have more of a stable mind compa… https://t.co/PWprRklGTr
"@brycenesbitt @myrabatchelder @EricTopol @OurWorldInData Sure, but why doesn't Fauci talk about how eating healthie… https://t.co/SZ1ScO473Y"
@Djohnson1978 @SloopyTexas @HotlineJosh @JohnCornyn @jaketapper Well he’s not and he hasn’t. Lies and conspiracy th… https://t.co/Uhq3qNOvaz
Good morning—this is your daily reminder:  Natural immunity is a real thing  CRT is racist  Mandates are unconstitu… https://t.co/iorQFvV93u
Fauci must love struggle. https://t.co/R8DfG5IWR1
Why does he think Dr Fauci should go to the border??? https://t.co/5JCefkM111
"@TM0s41 @ModerateWill Because a comedian said it's possible, you think there is a huge conspiracy going on? I don't… https://t.co/hVRvYJ7DyA"
"BREAKING: Chinese Doctors Claim To Have CURE For COVID- ALL STRAINS- 5,200,00 DEATHS Later- FAUCI IS SCREWED! https://t.co/5rQEBoW8Zc"
"@RandPaul And yet Fox News allows  a broadcaster named Lara to compare your hero, the great Fauci to Mengels."
"Anthony Fauci says 'Wuhan strain,' which ignited a firestorm for admitting the 'racist' origin of COVID-19 - TheBla… https://t.co/PzlHcM0q5t"
Fauci Uses 'Racist' Term For Original Strain of COVID https://t.co/S5zClNL7Mj
"Joe Rogan, but honestly, I trust gas station sushi more than I do Fauci. https://t.co/3imdgxLnoh"
@jeremy_hugh @DonaldJTrumpJr @joerogan How is this saying he doesn't trust science? Fauci is a liar. Since I don't… https://t.co/CgpfrgoHLp
@DonaldJTrumpJr @joerogan Sad truth. The only thing I trust Joe Rogan for is accurate information on DMT experience… https://t.co/7eX29jbCbT
"In no uncertain terms, Dr. Fauci is leading a bioweapons manufacturing company, completely unleashed.  That's why I… https://t.co/2S89ncGYK5"
"@GrahamBridge3 @tonx10 All your jabs were fake. Research Judy Mikovits, she worked with Troll Fauci. Robert Kennedy… https://t.co/SpLXUswBco"
@MSNBC Dr. Fauci is right. I appreciate him and others who have worked so hard to get protection from this virus. I… https://t.co/wexJ5AMfy5
@DonaldJTrumpJr @joerogan Dr. Fauci is the highest paid government official in the world....Joe Rogan is a grass ro… https://t.co/l05Y4EItRo
Are Boris Johnson and Dr. Fauci the same person? https://t.co/tDMk3rDJwp
@SenTedCruz Fauci needs to be prosecuted for his crimes
@TMZ Joe Fauci Rogan!! Making it safe again!! 🙏
@Poetscompose111 Who cares what Fauci criticized
Republican Racisn and andXeniobia are going mainstream! Attacks on Dr. Fauci are becoming common.justice  Brett Kav… https://t.co/AQjD5CpmVo
@vimana_rider @blackflagart Why Bc Fauci is a criminal?
@jonbonjovi @BonJovi Good luck!   Let's all just hope this new Covid variant doesn't get out of control like the fi… https://t.co/jGg9NUVQ88
@StuDoesAmerica Then please talk about Anthony Fauci more! 😀
@lsferguson Fauci has blood on his hands
@DonaldJTrumpJr @joerogan I trust Dr. Fauci more than I trust you.
How Fauci fooled America | Opinion https://t.co/mlrP5bYr68
Fauci Uses “Science” As Defense for His Lies https://t.co/GtYfjWbMsA
@DanielBrammer8 @SwannRidgerider @JimmyKimmelLive Might help to dig into this there little man. The NIH reviewed th… https://t.co/z8VRePof5a
"@j_sklen Not to take anything from @tedcruz, but it looks like @jimmykimmel plays basketball about as well as… https://t.co/cTbzjJUPcp"
"Not to take anything from @tedcruz, but it looks like @jimmykimmel plays basketball as well as @BarackObama bowls a… https://t.co/q0ddjWXV0L"
"As long as the current administration and democrats can use COVID as cover for their own failures &amp; incompetence, t… https://t.co/tokYBHx5Mi"
MONSTER: #Fauci runs “secret island of monkeys” to conduct cruel animal experiments to enrich Big Pharma https://t.co/SbNuxlZbIm
@mtgreenee I trust Fauci…not this BS.
I wonder if She and Fauci are related? @social77media   @TFL1728  Elizabeth Holmes exposed: the $9 billion medical… https://t.co/3XWlZpvPw1
"@StribOpinion This is idiotic and unworthy to publish. The writer contradicts himself, pretending to value science… https://t.co/vwA3S2LQh6"
Commentary: #Fauci's effectiveness is waning. https://t.co/TWrzb9sn06
Fire Fauci https://t.co/PsZWiI3MQ1  Poor countries have done a better job against Covid than the U.S. under Anthony… https://t.co/ad6pC1wPJq
@Jim_Jordan Fauci was appointed by your master
@ebottcher Fauci was complicit in this. That's the irony of what is going on. You trust a guy who killed people wit… https://t.co/S8fTtQilxS
"This is why Americans lost faith in government since 1960: - LBJ  - Nixon - Iraq war lies - FBI ""Russiagate"" lies -… https://t.co/1xi2xfoO9A"
"In 1960, trust in government by Americans was over 70%. Today it is under 20%. The cause is LBJ, Nixon, Watergate,… https://t.co/uguQju48fH"
Fox News Reporter Lays  Trap and Gets Fauci To  Fall Right Into It https://t.co/Qh1oXhuXe4 via @FacebookWatch
I guess it depends how old you are. The masks were more for advertising and rich people. Fauci thought kids would g… https://t.co/nR1NRuuKJU
"@ebottcher Where is this random picture from?   You do know it was Fauci saying to wear a mask, that casual contact… https://t.co/HQ4b1YJ2TO"
Fauci responds to Fox News host comparing him to infamous Nazi doctor: 'Absolutely preposterous and disgusting' https://t.co/igpgecIvxI
@RBReich and Fauci profits from Pfizer. Need I say more???
"SHOCKING: RFK Jr. Claims Fauci Killed, Tortured, Poor Minority Orphans in 1980s https://t.co/1hSNsoFPEr via @gatewaypundit"
"I'm a Fauci stan, and am deeply grateful for his service to this country. And I know absolutely nothing about what… https://t.co/D2r82OaQyQ"
"@RandPaul @RedVoiceMedias TRUMP TAKING CREDIT FOR DEVELOPING THIS BIOWEAPON, IS THE SAME HUBRIS FAUCI USES WHEN HE… https://t.co/X0VLrkDG8U"
Dr. Fauci is a modern day Mengele. #FauciForPrison #fauciliedpeopledied
"@ebottcher This is a lie.   I was living great then.   Not one time was masks worn.  Now, fauci the fraud did try t… https://t.co/YCUcExKNRT"
@RevTChristopher I heard a theory that makes total sense as to why there is a shade war ongoing in the White House… https://t.co/VaxdIoZrnI
White Supremacy agenda systems takes many forms and every political spectrum. Now you understand… https://t.co/feCmLyXcq0
@nicola_sabbe @tedcruz Vaccines don’t stop the spread.  Lord Fauci already explained that
"@robbarrettjr I know Dr. Fauci said it buys time to study Omicron, but it’s already breached the wall. I don’t see… https://t.co/3C71sooUR6"
@Jim_Jordan Fauci has served the American public health sector for more than 50 yrs and has acted as an advisor to… https://t.co/PvcVLyfBij
"Seriously, when are we going to face the fact that 80% of hospitalized Covid patients are overweight or obese?  Why… https://t.co/gXUhLBWgVm"
The use of “Fauci” for man’s best friend jumped 270% this year. https://t.co/qULzg2njA2
@ebottcher Never forget: Fauci was telling people that you could catch Aids just by being in the same house as someone with Aids.
@AlwaysVoteRed17 Fauci likes his Nazi like power…
"@TheRamseyLife @drscottjensen You keep using that word, science, but you clearly aren’t paying attention because if… https://t.co/CVh1etAP6O"
"“For me, Fauci is just another un-indicted criminal.  I do remain alarmed and frustrated at the ease with which the… https://t.co/xcStZZzgq5"
@JimmyKimmelLive @jeffpropulsion Dr. Fauci is more scarier than Foxnews
Dr. Fauci calls COVID the 'Wuhan strain' during Fox News appearance  https://t.co/2FqNWfHLUT
@NYCHomoCon And the gays hated Fauci.   They were smart then !   What happened !
@MarshaBlackburn @All100Senators I thought southern people were a bit more descent? How about Dr. Fauci and Preside… https://t.co/3o0TTrlkmN
"RFK Jr.: Fauci should be 'criminally prosecuted,' investigated alongside Bill Gates - LifeSite https://t.co/Q1V5FiRF66"
"via @NYTimes I think it is time to punish those who enabled the creation in a lab of Covid, starting with Dr. Fauci… https://t.co/yz4dtUsVWP"
@TheDemCoalition Lara Logan is hilarious. Got Fauci in that old grumpy Italian grandpa rage
NYE FAUCI ARE NOT SCINECE Gutfeld reacts to 'cringeworthy' Bill Nye video with Biden https://t.co/8kYYltAjnQ via @YouTube
Jimmy Kimmel Has Had Enough of Scumbags Attacking Dr. Fauci for Trying t... https://t.co/2sJy3Ghu7c via @YouTube
Disgusted And Furious Fauci Unloads On Fox And Lara Logan https://t.co/5kilctZiaO via @politicususa
"@gary_kline Their ""Only"" Slandering Dr. Fauci shame on their humanity."
@Jim_Jordan Fauci needs to be fired.
@AkilahObviously Okay but I would DIE for Fauci 🥺❤️
New Essay drop. Give it a read. #Christmas #Christmas2021 #Fauci #COVID19 #writers #WritingCommunity #Essay… https://t.co/3Dv9U500ug
A bit of Lil' Tony Fauci history. https://t.co/vZ84umUeQT
"@WhiteHouse If you want to get ahead of Covid-19, remove Fauci. American's of all political spectrum has no faith i… https://t.co/RSnWS4SVT2"
Will Fauci tell Americans about this? Probably not because it is too low cost and his Pharma friends won’t make mil… https://t.co/fmKkiuVqDA
Oh this would be amazing and have fauci waiting along with the rest of them https://t.co/Y04v3MzE8S
Almost 2 years now we have been experiencing the Fauci virus.
@Real100TrueBlue @RepMTG @mtgreenee Don’t forget Dr Fauci
@frenziedfarmer Don’t let them give her Rendezavere(spelling)🙏Fauci drug will end her.
"@jacobkschneider He represents SCIENCE. Attacks on Fauci, quite frankly, are attacks on science."
"Remember on a campaign call Trump said that "" people are tired of hearing Fauci and all those idiots, he's been her… https://t.co/eYITKaJIbi"
"@TeamCavuto Ok, great! Dr Fauci has joined the ranks of there’s nothing we can do! YEAH!😈"
"Fauci, dead orphans, AIDS drug trials, and the lies https://t.co/WumbjDhveV"
Ramesh Ponnuru: Fauci can’t use science to excuse his missteps https://t.co/xUL1E2JUXW https://t.co/D2doBFvpsl
Fauci Botched the AIDS Epidemic so Big Pharma Could Profit. He’s Doing It Again With COVID. https://t.co/KdQZO3wjGx
Fauci and the Great AIDS Swindle https://t.co/9Y54Qd726L
The reason why people are making conspiracies about Fauci and the Covid-19 vaccine is because they refuse to admit… https://t.co/Gpuz3fm1Ok
"Me thinks being in the paper this week and fielding my first request for ""The Real Fauci"" by Robert Kennedy Jr is no coincidence."
@FAgbagli @newsmax Right!!! Fauci saying there will likely be an annual vaccination… already have to get boosted af… https://t.co/uaYFL0H43D
@bradobert @RubinReport Lol…my hero? You guys are so tribal 😂 I don’t even think about Fauci. And ignoring Asian ha… https://t.co/0omIXIVoiu
"@SlvGate @SammySilverCoin @justinQone @PeggyDodson Do we have skin in the game? My brother Frank and I, both vetera… https://t.co/3cdDGVuvMb"
@ascottcard @Dee_Easley Blame China for the jobs loss &amp; virus. And Fauci who funded gain of function. The separatio… https://t.co/8KUENU9tGa
@Dee_Easley @ascottcard And to a point yes I agree Trump was terrified America would plunge into a depression. But… https://t.co/lxVmrV9rKc
"Fauci has always been on the side of the WHO, which has strong ties to China. His allegiance is to himself and to t… https://t.co/gzdS9pSXkZ"
@Dee_Easley @ascottcard I think he did ok. Fauci &amp; chick called shots. Biden has 3 vaccines &amp; monoclonal &amp; more dea… https://t.co/aY50oLteEK
Report: Fauci Refusing Interview Invites from Fox News https://t.co/GJUMQhGCjd via @BreitbartNews
Every day is a good day to fire Fauci!  Then send him to prison.   #FireFauci https://t.co/iHSpOiZGmt
Nothing can stop the special day planned for Fauci.  #FireFauci https://t.co/Svgy7PA2Rj
Fauci is cornered and trapped.  Watch how a seasoned RAT squirms.  No bargain offered at GITGO. #FireFauci https://t.co/lFMG7x73i5
Fauci just called the original Covid virus the “ancestral or Wuhan strain” on Fox Business.  Still seems like a com… https://t.co/c2gb01lWQQ
