"KS Hlth Sec,  Dr Norman...was Fauci'd out of his job. https://t.co/VQJpgBtZr7"
Why is the @CDCgov implementing new travel guidelines for airlines?  #Fauci admitted that the administration doesn’… https://t.co/tUmgFEkTIy
Dr. Fauci Lashes out After Getting His Feelings Hurt by Fox News https://t.co/0xPTNYNpPe
@DonaldJTrumpJr @joerogan That says more about you then it does Dr. Fauci but go off 🤡
@BedardCathy @DonaldJTrumpJr @joerogan What’s funny is you think Fauci treats people as a MD 😂
"Holy Shit, that’s FAUCI when the rest of the SHEEPLE WAKE UP! https://t.co/g1nrTGM8tr"
Dr. Fauci reveals what alarms him about the omicron variant https://t.co/q7IIJpA3Rn https://t.co/9bxp7msi7C
Fauci Fires Back At Lara Logan Over Holocaust Comments; Appears On A Fox Network For First Time In Months… https://t.co/gus4wgaj9L
@newkingofmedia @ConceptualJames Bobby-have you taken time to review never ending flow of human waste coming from F… https://t.co/xrRFqYBzUk
"@MarshaBlackburn We have over 800,000 American lives lost due to Covid . Dr. Fauci was muzzled by the Orange Disgra… https://t.co/dKFb5YTLBe"
Fauci criticizes Fox News for silence after pundit Lara Logan compares him to Nazi doctor https://t.co/rOZkhNrEJr
@redsteeze Jimmy should make Fauci his personal physician if he thinks he’s so brilliant.
@Sweasty @AnnCoulter Like I want to put my life in Fauci’s hands. Gvmt mishandling is more like it.
@washingtonpost Criticism from Fauci is the air Fox News breathes. Pretty much from anyone they deem a “lib”. Ignor… https://t.co/R9Nx3azRHb
"@paulthacker11 It’s almost like we’re being lied to !  I’ve been wearing 3 masks everywhere I go, I bleach my groce… https://t.co/gtHxf4eb3f"
Emperor Fauci thinks we respect his BS. Actually I see him being the biggest baby ever who can't handle real questi… https://t.co/8fAnzvhswx
Plot twist: Fauci is ACTUALLY Jesus in disguise and this was an elaborate test for all of his followers. How’d you all do? 🧐
Dr. Fauci reveals what you need to do to stay safe from the omicron variant https://t.co/pd7nQw2unL https://t.co/DhXHET6UVD
Fauci’s dead babies and mass graves from the past. A look back at Anthony Fauci’s crimes against humanity. https://t.co/JzxqjDDT38
Check out The Red Pill Project's video! #TikTok disturbing information for those who follow The Who &amp; fauci rituals… https://t.co/5bXeV6Xy4J
"That's their ace in the hole. When all else fails, they will blame Trump for the vaccines.  Trump needs to swallow… https://t.co/hV0hx5RmMh"
Jimmy Kimmel Has Had Enough of Scumbags Attacking Dr. Fauci for Trying t... https://t.co/6YsaHqNvL8 via @YouTube
What are the CDC guidelines on cleaning my glasses with my face mask?
Dr. Fauci. Redeeming my faith in men one kick-arse deed at a time. https://t.co/nVzrGO89cC
@CondorYT_Gaming @LogicalLIberal5 @johnawelk @FelicityGirlsss @chipfranklin Let me answer for you. Obviously you do… https://t.co/lEU7ifhuCR
@laralogan is an ignorant #pos. https://t.co/wiPuXxLlVy
"FAUCI is a MASS MURDERER, get him out of the WHITE HOUSE and put him in PRISON!  Needs to be tried for CRIMES AGAIN… https://t.co/9y7sWFo1Ch"
"@JoeConchaTV With all the intelligent people we have in this country, I can’t believe Fauci, Trump, Biden and Harri… https://t.co/Zzehxc2Ija"
Candidate Dr. Oz: Fauci 'J. Edgar Hoover' of Healthcare https://t.co/3AOogSYxlp via @Newsmax
@RadioFreeTom @RonJohnsonWI Not to reveal my age too much but Fauci is one of the absolute heroes of the AIDS crisi… https://t.co/ptB5SWjcez
'You're Talking About Something Really Dangerous!' Fauci Scolds Reporter for Asking if There's a 'Public Health Ben… https://t.co/YApR9FCzz9
Fauci today says everyone arriving on a plane has to be quarantine and tested and have a proven vaccine record and… https://t.co/kLLsPrtWZw
@LorenzoTheCat My doodle’s also a Fauci fan! ❤️👍🏻🐶
Ron Johnson accuses Dr. Fauci of 'overhyping' AIDS in the 1980s https://t.co/7dClqa0Tyl
Fauci: 1st U.S. case of COVID-19 Omicron variant identified https://t.co/yDAH9NtrUd via @CTVNews
the Fauci Ouchie LMAO all my homies go the Fauci Ouchies https://t.co/22Lpi4qodp
"BREAKING NEWS: Dr. Fauci, at a press conference, just announced the first case of the Omicron variant in the U.S.… https://t.co/T8IKqMO1PM"
@nypost You'll probably see a Fauci voodoo doll show up shortly.
#artspace2021 #Fauci the #magic #Science #man. Self appointed title.   🚨🚨🚨 SCIENCE ⚡️🌩️⚡️ #team #human #WakeUp #now… https://t.co/GprqqSR2DT
"If Fauci had any training at all in virology, epidemiology or infectious diseases he would understand that testing… https://t.co/Osxc7WITjw"
Dr. Fauci shares more details about first U.S. omicron variant case https://t.co/P3Z25nRdVn via @DeseretNews
Dr. Fauci shares more details about first U.S. omicron variant case https://t.co/2NGxw92FKM https://t.co/PeBaEhsZ3J
"@Truther287 So.... it's ""their choice"" if it's not Biden's or Fauci's?"
@ggreenwald Why is Fauci under attack?  Because the right-wing is happy to prolong the pandemic and cause mass deat… https://t.co/gXmGlQTAIJ
"Nothing personal toward Dr. Fauci, but he just seems like the crazy old dude with his beat up Bible on the street c… https://t.co/mE1EGsoG1W"
"Fauci claims that there *is* testing for covid at the border ""under certain circumstances."" But what those ""circums… https://t.co/C4a6x8VnHI"
"The first U.S. case of the omicron variant of COVID-19 has been identified in California, the White House announced… https://t.co/5ZFkf3f5MV"
Dr. Fauci just announced the first american case of the omicron strain is a FULLY VACCINATED person...then goes on… https://t.co/d0zoloSwef
@plf86000 @steveleibowitz @AaronParnas Dr. Fauci is a man of science. He has been for years. You however are not even a man of truth.
Fauci needs to go! https://t.co/e4h9oRPjMn
Watch Fauci sends SH0CKWAVE to Trump after 'conspiracy' game on F.ox...T... https://t.co/S5QEaIE9zD via @YouTube
@schreibdave Then I don't know where Fauci got his 700k number. Maybe he meant 700k total as of 2020.
Can we demote Fauci and Walensky from our pandemic team and snatch this lady from South Africa to come here to lead… https://t.co/3Ech7Lj72C
Do you guys think fauci and Bill gates be rubbing their Johnson and Johnson together?
We are responsible for monsters like Fauci. Because we tolerate the bloated bureaucracy that lets psychopaths like… https://t.co/IU8yNKsIiN
"Anthony Fauci represents science about as much as @BillNye knows about science.  So, basically, zero."
Fox Nation's Lara Logan has been denounced by several prominent Jewish groups and the Auschwitz Museum after she co… https://t.co/IkRA3tlMKv
"Fauci Dons Funny Hat, Declares Himself To Be Pope Of Science https://t.co/JWqIVBa4KY"
Jewish Groups Condemn Lara Logan’s Comments Comparing Dr. Anthony Fauci To Josef Mengele https://t.co/HyfEro57vn via @Deadline
@The_Real_Feisty He’s not running for Fauci’s job
Jimmy Kimmel Skewers Those Attacking Dr. Fauci For Trying To Keep Us Alive https://t.co/lZ1yGe2Iyo via @Deadline
You can't rely on competent health care in America.😠  Massive conflicts of interest are widely accepted. E.g. Fauci… https://t.co/lWx944q9lp
@bobbiePT Where would the United States be if it weren’t for Fauci? Would we still think that Clorox would prevent… https://t.co/nkXlferrgs
Dr. Fauci is a world renowned and respected scientist.  Ted Cruz an emasculated fraud and fool whom no one - especi… https://t.co/McBRiqogSP
Dr. #Fauci is part of the #Illuminati  #VaccineMandate Go to hell! https://t.co/qp2cIAjXsR
@DrTessaT @JessClarke007 ALWAYS follow the $$$$$$$$.....all the way to the graves.  We must NEVER FORGET the horror… https://t.co/YHBkof40YA
I love this song about D.R. Fauci. If you haven't heard it yet you need to listen to it. It will make your day!!… https://t.co/Sr5yeCOwt4
@rreedsing @Patbagley @AuschwitzMuseum @FoxNews Fox News compared Dr Fauci to Nazi Holocaust Dr Mengele.  https://t.co/5ya6NzDxHh
@oliverdarcy @RealDeanCain After hearing about the puppy experiment I believe it 💯  Why isn’t Fauci in prison?! Liv… https://t.co/p3VXME9RNN
@FoxNews stop with the crazy already!  https://t.co/AGOxGwRFvz
@EpsilonTheory This is a dumb take Ben. Covid deniers have been attacking Fauci to try and discredit the science. Y… https://t.co/Y3UlmjpNOi
France and Japan also reported their first cases of the variant Tuesday. The United States has not yet reported a c… https://t.co/EoJCkqFoaL
"""Let’s put aside all of these differences that we have and say, if you’re not vaccinated, get vaccinated,"" Dr. Fauc… https://t.co/vmtu1tvZCx"
@FiguringFreddie Fauci doesn't use the scientific method. He uses political bullying to push conclusions he wants a… https://t.co/uvnTpSxj0N
"@Acyn @tedcruz you’ve hurt the credibility of the Senate. Not only with 1/6, but a Harvard educated individual shou… https://t.co/O3ULehicH0"
Can we just get a word of encouragement from Dr. Fauci for those individuals experiencing “Covid Burnout”? The apat… https://t.co/bRkpExqTiT
"@Sage481 @tedlieu @laralogan She is not, she didn't hear this. The USA and Fauci are not doing anything that most o… https://t.co/zeQNkXjEH7"
What Dr. Anthony Fauci says about Utah GOP @RepChrisStewart bill that bears his name https://t.co/tLxKlpjrcn? #utpol #COVID
What Dr. Anthony Fauci says about Utah GOP @RepChrisStewart bill that bears his name https://t.co/GznfiOjbUZ? #utpol #COVID
Dr. Fauci reveals the lesson of the omicron variant so far https://t.co/YnesyS0YsF https://t.co/SptHPHWqYG
