@jenga_ca Trump totally respected Putin's interests - and still does.
@GOP4LIFEGOP @Annie20554592 @JackWhoElse @LadyOfTheOcean1 @Booda_the_Great @SnoJustis @catsequalneko @Ya_Missed_Me_… https://t.co/lb0NccWnQu
Pelosi will ‘never forgive’ Trump for Jan. 6 attack https://t.co/ldayQ6IpeD via @YahooNews We will never forgive he… https://t.co/7js7gjZ8AM
@GOP4LIFEGOP @Annie20554592 @JackWhoElse @LadyOfTheOcean1 @Booda_the_Great @SnoJustis @catsequalneko @Ya_Missed_Me_… https://t.co/3MhTnO5KuM
OUR NATIONAL DEBTS GOTTEN OUTTA CONTROL STARTING OBAMA BIDEN!- $10-$20 TRILLION 8 YRS** TRUMP $7 TRILLION MORE4 YRS… https://t.co/j5kpErAGds
"This is also true for people who considered running for School Board and other local elections, even volunteering t… https://t.co/OybiNhfLPb"
@rubk2017 @kylegriffin1 I can’t wait till I get to vote Trump into office again.
@PapiTrumpo @DrSasshole Trump will be put in home with bars in the windows and with all that's coming out about him… https://t.co/a7oVudY3SK
"@DrSasshole Yes, all could have been avoided had Trump and Pompeo not sign off on one of the worst deals with the Taliban. Smh."
@jimsciutto When do we expect to hear from the appeals court about Trump's Executive Privilege suit?
@whatgumpdid Recycled jokes from the original and a Trump cameo. Bin.
@catheri29300033 @marakelly68 @ArtsBusiness2 @ksorbs That's the biggest lie of them all Who owns Fox? The Wall Stre… https://t.co/yxCxscHVt7
"@catheri29300033 @marakelly68 @ArtsBusiness2 @ksorbs No, if it weren't for the former guy ignoring the pandemic and… https://t.co/BrbbvbPywB"
@Annie20554592 @GOP4LIFEGOP @MistressRedWasp @Ya_Missed_Me_ @J0anofSarc @Booda_the_Great @EatMe1369 @Saline_tRick… https://t.co/EmeDEJJ7AM
"@thomaskaine5 This made me reminisce about @DavidCornDC's tweets about Trump releasing his tax returns ""today""… https://t.co/B3381rx0rM"
"I saw RIP Sir trending and thought, oh no, not another Trump “sir” story…"
@SoapyDrink @Paul_Baro @bbclaurak but my anchor to reality is @realJohnSMiller commenting on Trump!
@gid22_ @kilmeade He was the homeless whack job. So sad a professional journalist has no compassion for the homeles… https://t.co/RID6Fg9Prs
"Merry Christmas, Everybody!!!✨🎄🎄🎄✨ I need help writing my list to Santa!  I would like to get those great liberty b… https://t.co/C6hc1fqM5P"
@TIME 1st place Bolsonaro 2nd place Trump .. 5th place vaccine scientists...  When future generations analize our t… https://t.co/5TwE7XsTVQ
"Literally every power broker from Bill Gates to Matt Gaetz is implicated in this thing. Trump, Biden. Everybody wan… https://t.co/xmN3q2qUkV"
"@Jon59341498 @thtguybev @ShamsCharania @sparemej Considering u prolly voted trump, I could care less lol"
@ACTBrigitte Trump 🇺🇲
@SenMikeLee Trump CUT $Trillions in Tax $$$ from BILLIONAIRES making low income Americans carry the load to Operate this Country.
#YouMightBeACanadianIf Every one of you from the beginning thought Trump was Illiterate https://t.co/lNrfZiFV3Q
"@edroso And a previous co-author of  @TomasPhilipson is that famous economist, Ivanka Trump, who is, as we all know, entirely apolitical."
@blueheartedly Trump? Fail? https://t.co/SNlAXcLsqO
"@MarshaBlackburn You're kidding, right? Your hero Trump had the notes from his meetings with Putin destroyed."
One of @SenatorCollins key accomplishments from the Trump years. Deserves more credit than she gets. https://t.co/gInxTuilXr
@RepMariaSalazar Is this your play in response to critical race theory?I can’t believe we pay you for your BS. CRT… https://t.co/7Od44ajRRZ
"@murder409 @JakeDiamondbac1 Why didnt they, then😳? 👇 Cuz Trump wasnt ""in"" on the ""bully Ukraine for Russian gain"" G… https://t.co/pQpPxbZ6Jr"
"@BuddyWinston Well yeah, Putin says bla bla bla and trump agrees, no problem"
"@rexzane1 Dan Crenshaw is not a friend, he's an ally in the anti-trump movement  Once trump has been nullified don'… https://t.co/InfGSSS7Ox"
"@catheri29300033 @marakelly68 @ArtsBusiness2 @ksorbs Here's a hint, if trump's mouth is moving, he's lying https://t.co/rv7SHCj2e3"
The Republican Party must rid itself of Donald Trump. He is responsible for turning Georgia and Arizona blue. He is… https://t.co/JdtPWlykzi
@FoxNews @TIME @AP   The RIGHT to VOTE in the United States has been REVOKED by the GOP and TRUMP. All Lawmaker Pos… https://t.co/XiLXvXU2PU
@CheriJacobus No wonder Trump's strategy is always to go to court. Justice moves at glacial speed.
@AP  America has FALLEN to Trump and his REPUBLICANS.  VOTING IN AMERICA IS NOW OVER.  APPOINTMENT will be the new… https://t.co/TF44tu4mli
"@hana___anah Not until he's sold his stock to an unsuspecting market  Keep an eye on the trading patterns, when you… https://t.co/o69yVMAJrL"
"@alexbruesewitz @MLuttrellTX Being anti-trump doesn't make Dan Crenshaw a RINO, it makes him a patriot, a true patr… https://t.co/5IfYxm2JIB"
@NunesAlt @DevinNunes Hope you don’t let him move back in with you once his paychecks from trump bounce
@hamezhill The Trump Playbook
@HallieOnMSNBC @MSNBC @RichardEngel @mikememoli @PeteWilliamsNBC @GarrettHaake @LACaldwellDC @ellisonbarber… https://t.co/p0ODvuEZE0
@MSNBC   Katy Tur and Hallie Jackson were born from Donald Trump. They will ALWAYS be reminders of the most horribl… https://t.co/6cu9RdM4eo
"Facts, = media? Nope, fuck it. Let's just continue to report on Trump because it's Clickbait. 99% of them: they are the worst of the worst."
"THIS is why I despise 99% of the media: All they do, continue to do, is report on Trump. The media helped get him e… https://t.co/HlVgpTfhqz"
@Patri0tMom @BBQHotLinks @TalbertSwan TRUMP VIRUS LOST
Where Have All the Grown-ups Gone? https://t.co/37DOgRzQrU
@BlazednRefined @HayleyHemholtzz @shoe0nhead @ProstasiaInc just because 8 yrs ago he did something doesnt mean he s… https://t.co/cs2I6Pp2hm
"@B52Malmet Ugh, just heard this in the car. Guess Trump got to him..."
The Crisis of Liberalism: Prelude to Trump by Fred Siegel https://t.co/WiAzn7HgpH via @goodreads
@CNN Because he won’t win re-election.  Every loser runs to Trump. That’s all they have in common.
@Panthers   NOBODY is ABOVE the LAW !    MUST FEEL GUILTY like Trump says !! https://t.co/HUdmwhOg9K
@bangordailynews He was also pro Trump fascism...
"@Editor_of_Eric The same kind of person who works for politicians — greedy, insanely ambitious, arrogant, power-mad… https://t.co/kQJn8UJAPB"
@AssusReamus Barr. He was the only one in a significant position with any authority and he blew it! He was totally in trump’s pocket.
So did Mr Trump send out a press release wishing everyone a Happy Pearl Harbor Day? Just wondering 🤔
Rep. Devin Nunes to leave Congress to become Trump media company CEO https://t.co/t8UZM3HL6a - Good spot for a FOOL!
“Meijer remembers one longtime member—who confessed that he did not believe the election had been stolen but said h… https://t.co/JGBJR9n8Gc
“He denounced Amash’s calls for Trump’s first impeachment—for soliciting Ukraine’s assistance in his reelection cam… https://t.co/0m0iUlm9Ho
@whittler_e I do however they voted for trump TWICE. I told them the first time what would happen. They chose a fas… https://t.co/37tetbnnKl
@GeorgeWill He voted for Trump twice. He was part of the problem!
"There are legit reasons to call out Kamala Harris for being awful, but this stuff about Bluetooth is nonsense. Ever… https://t.co/kS8WHRnerU"
@Perduesenate SPOILER ALERT: The Trump sycophant who couldn't be bothered to debate his Senate opponent isn't going to save anything.
"@donwinslow If Biden’s DOJ does nothing significant about trump and Jan 6, it will be a huge black stain on the administration.  HUGE."
@CNNPolitics Trump was always a true GOP. I’ll vote for him the next election. Trump actually cares about this country and people.
@CBSNews @ABC @FoxNews @WSJ @AP @TIME @politico @Reuters @TheEllenShow @Oprah @katyperry @ladygaga @taylorswift13… https://t.co/tIl7vn1UVU
@OlavAndersen3 @TeaPainUSA Trump is not in charge at the moment. It was during the Trump presidency that Russia rec… https://t.co/vgSKHyjHIT
Who Just Gave Donald Trump $1 Billion? https://t.co/YXiipVE0Kk via @YouTube
@WeThePeople021 I think after reading all of  Trump's terms and conditions hes gonna charge to use it. (Kinda sucks… https://t.co/7vKYMyfAyh
@realseanhoffman #1...We believe in Trump  He has our trust. We watched him 👉closely👈 while he worked under CONSTAN… https://t.co/NrBCXfcqZk
"@JVR926 I started to fallow #Trump when in presidential debate he told @HillaryClinton in her face! I  ""cause you'l… https://t.co/NYyD8Dea0K"
@GwenLapin tRump has such a strange strangle hold on so many people- he is a cult leader not unlike Charles Manson or Jim Jones
@FoxNews We will never forget Trump's Attack on the USA Capitol. https://t.co/mRksCGAToW
"@FoxNews @AP   Because of TRUMP  and the REUBLICANS the United States will NOT be able to hold elections in 2022 ,… https://t.co/gFpq3Gw6GA"
"@SlushDad @fnrolls @noobslush @vhelbtw Oh you are a Trump, all lives matter, pro gun guy no wonder all your takes are shit on Fortnite lol."
@MysterySolvent He'll be fired in 2 weeks time. Trump does that shit often.
Wall Street watchdogs probe Trump media firm deal https://t.co/R5dvNvmTVJ
I know people are pissed at the regime for not doing free covid tests on demand but have you all considered that DO… https://t.co/edNtSXGYDE
Find the difference 🤪😁 #Trump2024  #Trump  @realLizUSA  @WendyRogersAZ  @DonaldJTrumpJr  @mtgreenee  @4HumanUnity… https://t.co/DkdBqSkbLR
"@palomapoetry @Acyn Right?! Socialism was falling flat. Too easily unraveled, too many responses like, ""oh, not thi… https://t.co/dgm8JOe42b"
"@AdamKinzinger Woah... fog of war?   Donald Trump, not just President of the US but is actually President of the wo… https://t.co/KspR2ePRa8"
@JacquiHeinrich Glad that Trump is still getting his crew together.
"Rep. Devin Nunes, R-Calif., one of Donald Trump's most loyal defenders, is leaving Congress to become chief executi… https://t.co/9iclviXxZP"
I personally knew 14 people who died of the trump virus. https://t.co/btAgQXymw5
"😂😂😂😂, and the media company is undergoing 2 different federal investigations. You can't make this shit up. 😂😂 Rep.… https://t.co/PX6kF2aeWL"
@atrupar This cultish worship of Donald Trump is getting rather pathetic.
"@brikeilarcnn @washingtonpost @Milbank Media loves Trump! Every word, every public appearance, non-sequitur inane s… https://t.co/RoC7gq0xe5"
@ComptonMadeMe *I say they are the equal only based the two parties work in lockstep. * I also say Biden = 50yrs of… https://t.co/tTBvOe8lsb
"@chrisb99_uk @FlowersEnglish Everything ""woke"" turns to shit. Quote from Donald Trump. 👍"
so I learned all the tricks that I know from the Donald Trump campaign of 2016 actually
@Shaughn_A2 Trump is in his head for sure 🤣🤣🤣
"@YahooNews Of course they are, they are so jealous of  everything Trump. The American people love Trump!!!!"
"Grifters. Destroying America to make buck... Millions of bucks, same for Trump. I feel so sorry those who are donat… https://t.co/0p7VTsANd3"
"@kekili143 @DSmith9130 @chipfranklin I think its extremely funny that Trump and his ilk call him ""dementia joe"" etc… https://t.co/FL5xucPWvd"
"@ZEphotographic Before Trump, and maybe even including his election, the worst thing to happen during my 70+ year l… https://t.co/dIDu7GDCKh"
"No surprise ""people living in counties that voted heavily for Donald Trump during the last presidential election ha… https://t.co/GI5OYwNYBK"
@SandraShoemak13 @TomJChicago No …. No we really don’t .   I agree we need someone other than the current joker in… https://t.co/sib6hqJryz
@JudyLaTorre6 @mtgreenee She's not educated enough to be in office. As bad as Trump telling Puerto Rico to ask thei… https://t.co/9DqFGs1z1A
@AdamParkhomenko Trump haunts your dreams? That means you are on the wrong side of history. 😳
@RechargedRod @Lindalou_466 Waiting for the glowing Trump 'eulogy' on Senator Bob Dole
Biden =50yrs of Trumpery  Or would it make more sense the other way Biden is blue maga trump racist sexist warmonge… https://t.co/wKSncSIBoH
SCROLL UP FULL READ! BIDEN TRUMP DOCTORS AREN T GODS!-  WEVE OUR OWN MINDS CAN DECIDE FOR OUR SELVES !- FREEDOMS OF… https://t.co/ae66wCyEDY
@soledadobrien Weren't they just gleefully hawking Christie's latest book? More disinformation to come. They thrive… https://t.co/zUjScWsSop
"@CRose2u @YouTube Buffalo doesn't stand a chance against my Patriots. Now that Trump loving, cold hamberder eating,… https://t.co/nH8MZoGj3s"
Forget about Barron! I was so excited about Trump's Merry Christmas greeting that I had to change my underwear! https://t.co/V2SFeWJX9O
"@blackintheempir Accurate news reports tie Greg Abbott, Ron DeSantis, many other Trump stooges and  and their croni… https://t.co/wbDbCZCmAW"
"Trump's mention of Comey in the interview is getting all the attention. What did he say about Bob Dole?  ""I like pe… https://t.co/oL1jyoMOu3"
@BradMossEsq @Comey There is plenty of reason to believe Comey would have done something different.  Comey is a car… https://t.co/GNMEB0W8nc
The worst thing Adolph Hitler did was to pave the path for Donald Trump to be President. #ChangeMyMind
All these idiots on the right are all worked up about how Jeffrey Epstein and Ghislaine Maxwell are these evil peop… https://t.co/r3l4NvkTMG
"@InTheNoosphere trump, without him there'd be nothing to resist https://t.co/Dmzk7lBOdu"
Companies Linked to Russian Ransomware Hide in Plain Sight https://t.co/zzQcuVOC8E - Trump's pal Putin and his fina… https://t.co/Lxq2VkLX6O
@betmags @AmyAThatcher Guy down the road has a big trump 2024 flag.  Must have set him back a couple trailer payments.
@meiselasb For as much as the media likes to sensationalize stories you'd think they'd be all over trump's corruption.
"@WizeAssBitch50 @CarroccinoT @seanhannity I had covid in Nov of '19, have M.S., work w/public 5 dys/wk reg ✔ of my… https://t.co/OQBieIrqJp"
Biden is still 43 felonies ahead of Trump  but ohhhh nooo not a word about that or Obama fast and furious should ha… https://t.co/iWYKy3Unvz
Both sides seem to be operating on the assumption that a court reshaped by former President Donald Trump will eithe… https://t.co/VHNff03lJM
"How many deaths is he directly responsible for?   Knowing he was positive, he didn't mask, didn't reveal his positi… https://t.co/4brANT0V1Y"
@RepMTG Trump gave $29 Trillion in Tax breaks to wealthy.
@bangordailynews He’ll blow that and then owe it all back. That’s the Trump Way!
Trump is not President anymore why are you all being pussys now. Let’s get back to being a government of the people… https://t.co/21EKXUEg2H
Pro-Trump counties now have far higher COVID death rates. Misinformation is to blame https://t.co/Gn9svbTc0p
"@HuffPost Trump was out of office 4months before this study’s stats began. Trump was never anti vax, he did operati… https://t.co/sU4dOe5OMB"
@NikkiHaley You sold your soul and I used to think you were a decent leader. Too bad. You fell down the stairs and… https://t.co/0wNarqW8ob
"Uh Adam - complete quote is ""Anyone who's responsible for that many deaths should not remain as president."" I know… https://t.co/QKXENI4ZHZ"
Nancy Pelosi was just commented on the death of Bob Dole.  She praised his military service &amp; service in government… https://t.co/ISeg5d9rUH
@IrisCMiller @theMRC This is what the radical left loves to do is blame blame blame. Probably it was Trump’s fault… https://t.co/FG7XZ38yZa
@DutchessWoodall And a mini trump in UK
"The election rally of French conservative  journalist Eric Zemmour in Villepinte, a suburb of Paris, shown  briefly… https://t.co/xzfkiKkhae"
@JerseyExit3 @movers_atlantic @RepSwalwell The evangelicals helped make trump president as they knew he was a tool… https://t.co/Z510e0bQy5
@CREWcrew JUDGE CONTENT CHARACTER OF TRUMPS PRESIDENCY; TO BIDENS? FAILURES FAILURES ECONOMY AFGANISTAN LEAVING WEA… https://t.co/34ngwSg8x3
BREAKING 200 YEARS OF IMMIGRATION LAWS BREAKING 200 YEARS OF IMMIGRATION LAWS BOTH RESIGN OR BE IMPEACHED YES BOTH… https://t.co/Ba6G2clHfb
"@EMPERORV__ My take, lots of them in the US were conned into taking it early by Trump.  The D’s then lined up to ta… https://t.co/EgGLBJTbpa"
@Franklin_Graham And yet you support Trump?
"@jackshafer He sold more than Viagra. According to @WSJ, in 2016, a month after Trump's election, Dole sold Taiwan… https://t.co/3dNkGehVcv"
Trump ally Perdue to challenge Georgia Republican governor – media By Reuters https://t.co/q7zA0HXnEW
"@Tygnlove @TheBabylonBee I liked this one too.. I own firearms, and I also voted for trump. This twitter account is… https://t.co/LUjuPDteTr"
@SenWhitehouse Make RAPED 13 year Olds suffer through the birth of the child created when she was raped and beaten.… https://t.co/z9KOZE5tfl
"Finally Trump admits, albeit in a grammatically strained way, what everyone with any intelligence has recognized si… https://t.co/6Xx3owELnQ"
@davematt88 Donald Trump DID NOT go to church Donald Trump DID NOT work out  He took Barron on a weekend spiritual… https://t.co/kLn8oual2O
@Robert57281841 Tie. Citizens United. Trump’s conception.
"""People living in counties that voted heavily for Donald Trump during the last presidential election have been near… https://t.co/9OMsJJNZ9d"
"@CCVagina Good to quantify this, but I expect that those same Trump voters will call this fake news."
@FacundoSavala Trump was better than you. He atleast let the election finish before complaining https://t.co/JyXat9cYnH
Today one year ago I went to the Mike Pence Trump Rally and met Former Governor and Future Governor Paul LePage. https://t.co/ta2fdxVGpA
Trump’s social media venture to raise about $1 billion in funds https://t.co/ZagcKbghW2
"Ex-KKK leader running as Republican for office in Georgia https://t.co/rNbfHiHglv - Down to new low levels - Trump, the GOP, America."
@SenatorCollins   Help the wealthy   https://t.co/hQY3PahDla
@SenMikeLee   Let lower class people pay !!!!!!!!!  https://t.co/hQY3PahDla
They're all living w/ round-the-clock self-loathing. Trump OWNS them. I think he's got something on them. Democrats… https://t.co/rJ9soUhDR8
Trump media partner says it has lined up $1B in capital https://t.co/xj4YWvSMfN #FoxBusiness
"@RichardGrenell then, of course, there's this https://t.co/a0opuGrnJM"
"@JoeBiden So Trump was right about that too. It's like you're saying ""MAN, WE DUCKED UP HERE. I guess we should pla… https://t.co/GUqns6uuCR"
@bennyjohnson @TPUSA Trump was accused of sexually assaulting over 25 women yet you still support him
@FoxNews Mr Trump got away with it all because he's smarter.
Truth is you really do ❤️ trump!! I mean changing your background to trump🤔@PapiTrumpo https://t.co/g9Xjt9i5RQ
"@CIntercourse @sumrall_josh @peeps_historian Collusion with a foriegn power and incitement to insurrection, in what… https://t.co/PTWXApwAGU"
"Magnus - manly trump fan music Mai - c-pop, k-pop, j-pop, and musical theater Nadine - hip hop Nathapon - uhh idk a… https://t.co/1tnYqLXDH9"
"....footage purchasing a ski masks, gloves and a red hat, all items involved in the alleged attack, but the brother… https://t.co/1Rib0pCgSm"
I never thought I would ever say this but @POTUS45 Trump was right in different topics.   Truth is relative and her… https://t.co/v8APOB3d3h
@LexieMatheson @nicholasphilp I suspect - hear me out here - people flew Trump flags coz they like Trump.  Last tim… https://t.co/g22xcQsw8J
"@trump_democrat @ianbremmer How’s that? If that’s the standard what happens to OAN, Newsmax and Fox ? Maybe they al… https://t.co/lXw5ttgtTM"
@TeaPainUSA Trump.
@CIntercourse @sumrall_josh @peeps_historian You should talk to your superiors about finally cutting the old perver… https://t.co/WmthxoPZHK
"@CIntercourse @sumrall_josh @peeps_historian Keep trying to distract from trump's pedophilia, it's not working but… https://t.co/PGMuZN304K"
@tedcruz NO I DISAGREE!- IT24/7 NON- STOP ATTACKS UPON TRUMP FROM MANY AND ALL DEMOCTATS NEWSS STATIONS LIKE NO OTH… https://t.co/pbNxutyd3m
@AP Trump is just fighting the censorship o TV the Dems and Liberal. Republican Party would never take someone’s freedoms.
@RedWineLife4Me @MaryMall0n @rajboshmahal @undercovernerd5 @MollyJongFast Lol if Trump said that there would be riots. But keep going
@joncoopertweets @JoeBiden It’s all a lie!  The #FakeNews media needs Trump to see exist in order to survive!
@CIntercourse @sumrall_josh @peeps_historian Acosta covered for trump and trump paid his debt
@CIntercourse @sumrall_josh @peeps_historian Epstein wasn't barred from Mar A Lardo until he was indicted by Palm B… https://t.co/ra2DSCSfiQ
"Truth be told. Vovid is now being called an afrikan thing and everywhere is not boiking as when trump called it ""ch… https://t.co/DgSaVOUcC8"
"@JWBallz @LucianArgues @Judson4Congress He asked the lot owner where he wanted him and was told "".up on the roof.""… https://t.co/rtKMhceeRU"
@Panthers   Mark Meadows goes into HISTORY as a Trump suppository.  A shoved way up one. https://t.co/kfQAXwibze
"@JWBallz @rudepundit Yeah yeah we know. Biden bad, Trump good. But Biden is getting done what Trump and Republicans couldn't. #CompetentJoe"
@Sethrogen I’d rather trump be president again over watching this. And I’m neither left nor right.
@SWinstonWolkoff @MarkMeadows Mark Meadows seeks Trump's approval for everything. He can't see what a fool he is be… https://t.co/Ifeh7RlP4q
"@SWinstonWolkoff @kayleighmcenany As with all other Trump loyalists, McEneny means nothing to the Trumps beyond her… https://t.co/WVgg8QcFrr"
"@EricBoehlert And when Trump becomes Speaker of the House in 2023, B-H’s failure to stop COVID will be the first count of impeachment."
@CIntercourse @sumrall_josh @peeps_historian Is that why Maxwell had so much access that she was able to recruit gi… https://t.co/zYjogwZtaw
"@62jerseygirl @NancyMcBeth @Cirus_thy_Grape Trump knew about Epstein long before that happened, who do you think in… https://t.co/JLXwsJ4CFr"
@ONEANews @Dockbuilderdude @DevinnuneSpussy @RSBNetwork You know what else is crazy? You hate Trump and the right b… https://t.co/DKZSsgRYsp
@XanderXjork He predicted the pandemic And Trump
"@maggieNYT Trump probably figured if he had COVID , then he wanted to give it to Biden. Of course, so generous."
@trump_blocked Depends on their hygiene.
@greggutfeld I bet portraying Trump on SNL got to Baldwin ... his ego was bigger than Trump's ever was in his inter… https://t.co/1AsyWcWT7z
@claramanoucheka Big Poppa Trump helped get elected whoever could be on the blue ticket #Fact
Not quite sure what your point is since the vast majority of #antivaxxers are Trump supporters/Republicans… https://t.co/NxYGlE19ly
Biden’s media coverage is worse than Trump’s at times - The Washington Post https://t.co/16B3Dnpmia
Even Donald Trump don’t have the gut 😂😂😂 #mufc https://t.co/480PrmhFsR
@AP   The Supreme Court Justices REQUIRE young girls who are raped MUST endure that pregnancy and absorb the enormo… https://t.co/tstMCIJ4yu
"@pjo5103 @ThomasSowell Wrong. It has always been there, but Reagan had no problem with using race to frighten WP in… https://t.co/OZmlkTCYRD"
"@NHforTrump2016 Note the date, 2017, in other words under trump"
@Out5p0ken Check the Trump kids.
"@BMuchannon @daviddoel @WaywardWinifred Assuming that you’re not just a sock puppet account, you need to realize th… https://t.co/LBuyno5NNL"
@Hendja That blog entry - the letter to Trump - was written in 2016. I'm NOT defending this couple but it seems the… https://t.co/w48DDMWyYm
@wfpetree @RpsAgainstTrump Votes were counted and recounted by members of both parties numerous times. Trump challe… https://t.co/g5nVnFKM8G
"@thebestmomabear @RpsAgainstTrump Pence didn't really do much of anything as it relates to January 6th, to date no… https://t.co/A6doaCkLD2"
"@WalterBlake1 @RpsAgainstTrump Well now... that's the first true thing Trump ever said. He's like a child, if he do… https://t.co/Zdkv0gJwRk"
@JohnGBarrow1 @RpsAgainstTrump Exactly... Pence and many others claim to be Christians with high morals but they su… https://t.co/GyvbRH5dFZ
@SethPlaut @Breaking911 I love this account. It's like the Krassenstiens and that Brooklyn Dad to Trump tweets
"@ValersonDwayne @ArtieVandelay1 @POTUS It doesn't matter what party I favor, it's just that it's wrong to reply wit… https://t.co/daxGor7Yec"
"@ValersonDwayne @ArtieVandelay1 @POTUS That's kinda redundant, no? Trump is guilty of decades of sexual assault and rape of young women, no?"
@JoeKen19083 @Leftist412 @TheEmoDragon It was always there. They just had to hide it from us. Trump just gave them… https://t.co/mTSJMhX7si
@RoyceLopezz @myeomans71 @JamesZMB @POTUS How could Trump slow something down that was hardly moving compared to no… https://t.co/XXziD0xVdb
"@TheOtherCurry94 @myeomans71 @JamesZMB @POTUS To say Trump or Biden ""killed"" anyone is ridiculous. That's like sayi… https://t.co/kpXS3cpRDw"
Oh so that's why the heavens recommended GETTR ! The CEO is @JasonMillerinDC and was Trump's senior advisor. Feel f… https://t.co/I2KqRy7170
Similar to how Youngkin did in VA and that seemed to be a meaningful strategy.   Trump will likely go with someone… https://t.co/Vk4S2tTBro
"He won't choose anyone who could be deemed as a threat or a rival, or anyone too popular.  He would likely choose a… https://t.co/OAnejNf0Tp"
Further predictions:  Trump will not choose Pence for his VP. Nor will he choose anyone who has ever spoken out aga… https://t.co/FCEmXJA3v8
@lebanese2018 @NikkiHaley It means she's a Trump sycophant and nothing more.
"@JasonOverstreet They don’t care. Tbh, they never did. Trump made it okay to publicly do it. Screw them…."
"I'd love to read an interview with an obituary writer about how they're updating the obits for Bill Clinton, Donald… https://t.co/QuCw5ux2ch"
I once tweeted Trump that my town is nothing but illegal aliens and asked how he intends to get a bean to deport us… https://t.co/tFVXeUvh10
@Flipp440 Q and Trump got me back to Twitter after a 7 year hiatus.  I considered myself a conservative republican.… https://t.co/0LDVuhX9vX
"While I was saying this was a coordinated global power grab, laying the foundation for fascism around the world, yo… https://t.co/9TP7sj1xFf"
"Bernie won't run, nor should he. I'm as big of a Bernie fan as anyone, but I do not want him to run.  Kamala and Pe… https://t.co/jzEieiaT4o"
"My extremely ""why are you talking about this so early"" 2024 predictions:  Biden will not run.  Trump will not run i… https://t.co/JnkqXWzBER"
"Sometimes it seems the Republican #COVID19 strategy, from Trump in Feb. 2020 to Jim Jordan this week, is to keep sa… https://t.co/kn9SyXrQa3"
"@custardpi314159 @TheRadicalSanta Trump sure did hit every item on the list, didn’t he! Still can’t believe how muc… https://t.co/EVK1yUE1tl"
28TH ADMENT WRITTING INTO LAWS LOOPHOLES BENNEFITTING THEMSELVES( TRUMP TO SAID USED SAME LAWS HILLARY CLINTON DID)… https://t.co/TAIyNfeOjF
@TheMajorityUSA @bambinoguyprot1 @JennaEllisEsq That guy gets 200 views on social media every time he speak suddenl… https://t.co/PTdormIzfV
@AaronRJackson @MEBBallRankings Even Republicans know that scaring old people and taking rights from women and mino… https://t.co/AJGKlKfBZp
@WalshFreedom IMO I think the largest problem for my party is it’s talk on guns. I bet if Dems modified their stanc… https://t.co/k6yngYvY1i
@jordan54738706 Worse. Eric trump
@politico @Reuters @TheEllenShow @Oprah @katyperry @ladygaga @taylorswift13 @rihanna @Beyonce @DollyParton… https://t.co/bJRLq8GO4z
@AnthonyCurtis68 I don’t get it man. Shits so disgusting. Rooting for a side in that thing is Fucking nuts. Clinton… https://t.co/WaQGUgSXmF
A CIA Report Shows Trump Abandoned His Duty as Commander in Chief https://t.co/mALRVdcghZ
"@LRPow79 I have a neighbore with a Trump sign &amp; a GIGANTIC Trump flag on his deck, facing my house, so I put up a s… https://t.co/hV8k4cQ5oA"
@donwinslow Trump voters don't eat sushi. They eat his lies like it's Hot Pockets.
