"@BillKristol Hey, it’s the Christmas season.   It’s just Flynn’s retelling of the Passion of Trump."
"@politi__cal Apparently my conservative uncle's only donations are to Obama in 2007 and 2008. I'm very surprised, b… https://t.co/x6mInMLRpK"
@JackJohnson9797 @PattyArquette @GOP Senate REPUBLICAN report:  A Republican-led Senate panel has concluded that Tr… https://t.co/rOwaW4HLl4
"@BingoVibe1 @JanK3875 @RadioFreeTom On that we agree. Purity politics got us Trump. (that, and our horrible misogyn… https://t.co/RunU2ZKQQl"
"“The 1/6 Committee appears to have a great deal more information that Trump and his allies are aware of, and they m… https://t.co/QgkXBGpM1n"
Trump Caught Red Handed As The 1/6 Committee Has Metadata Linking White House To Coup https://t.co/GYwu65LLWJ https://t.co/2VPoTAvt1f
"@BingoVibe1 @JanK3875 @RadioFreeTom As I stated earlier, I think black voters, and politicians are the smartest peo… https://t.co/Phszm67DaT"
"@BingoVibe1 @JanK3875 @RadioFreeTom And the trouble with focusing on people,  -if you mean individual politicians -… https://t.co/qJbXYNJwJK"
@SapienWoman @JackWhoElse @ahrehead @mathmomma24 @PG13ScottWatson @AnafitAF @TacoforFive1 @Keith93557644… https://t.co/FQEQ9sXp4h
@RhondaAHandwork So trump’s Operation Warp Speed that pushed for the development of the vaccine was all about contr… https://t.co/Hn5vuc9iEM
@RepBoebert They are paying the Trump administration's debts.
"@JackJohnson9797 @PattyArquette @GOP ""Special counsel Robert Mueller’s report on Donald Trump and Russia establishe… https://t.co/muJjlq5j0W"
@JackJohnson9797 @PattyArquette @GOP 🤣🤣🤣🤣🤣🤣🤣  Here's the link to your screenshot:  The Mueller report’s collusion s… https://t.co/NY3knmRTmw
@Acyn In my personal opinion Mark meadow had full intentions in cooperating with the Jan 6th committee but was inti… https://t.co/4RDsjOKUYd
@gmitch9 @HeartlandSignal “When did Trump “push clorox?” Have any proof of this? I have seen the video 10 times” https://t.co/yBPQm6Fag4
Biden wants to create jobs on our infrastructure bill! Republicans are dragging their feet!  Republicans are now ac… https://t.co/JUz8V8tWYj
@nathaliejacoby1 No. Trump is awful but it’s sad that Biden is such a disappointment.
@jrauch64 You write a book about Trump!
@Acyn Suing Pelosi wouldn’t effect the subpoena seeing how pelosi isn’t apart of jan 6th committee who issued the s… https://t.co/9CZtC5hwc1
"I got a text message saying “Alert,”president Trump is starting his own social media outlet and they need my help,… https://t.co/DtOilSmqqp"
@SherrySons2 @JesusNarrowWay Zucker is a friend of the Trump family.
Former Trump White House chief of staff Mark Meadows is suing the House select committee investigating January 6 an… https://t.co/dRSu63fMyk
@VegasMave @GiancarloSopo @WSJ We don't think that. You guys do and project your assumptions onto us. I was just cu… https://t.co/dv8iCta1Sl
"..ACCUSED Dems of ""attempting to overturn 2016 ELECTION"" &amp; ""ignore Will of the People""?  Repeatedly, 2017, 2018, 20… https://t.co/sJ3qZ4a77N"
"..ELECTION as part of 'direct and collateral attack' after election  Committee also has Jan 5, 2021 email re: 38-pa… https://t.co/Fep6Ci3L6N"
There's REASON Meadows didn't go for Deposition - it has NOTHING to do w/Executive Privilege (which doesn't have)… https://t.co/h8nEbdNBBt
@VegasMave @SoCalNative60 @GiancarloSopo @WSJ Theres going to be ppl all along the spectrum for D's and Rs. A Dem f… https://t.co/okvCC6wDGV
I was diagnosed with type 2 diabetes in the spring. I have lost 50 lbs. and no longer have to be on meds or insulin… https://t.co/NkfwCkcwc4
What Twitter is going to sound like when Trump gets Truth Social up and running.  https://t.co/cYuzn9UFzH
"@BillsMafiaTPA @carlquintanilla @Milbank Same people also said Trump was killing people last year, yet have nothing… https://t.co/VJ36mZiLHz"
@mi_sfrom @JackWhoElse @ahrehead @mathmomma24 @PG13ScottWatson @AnafitAF @TacoforFive1 @Keith93557644 @PoliticsPot… https://t.co/ziQKJuInWn
"She saw Massie's card and was jealous of all the attention he was getting. She is an ATTENTION WHORE, that should b… https://t.co/goA2s2xE59"
"@BumpItMcCarthy @MyDesiSelf @AdamJSmithGA @HillaryClinton She won the popular vote, congratulations. But that isn't… https://t.co/JipSkr7Cs7"
@jlambmanprod @GiancarloSopo @WSJ So I see it's the racism tht draws you the Trump lol
@JackWhoElse @ahrehead @mathmomma24 @PG13ScottWatson @AnafitAF @TacoforFive1 @Keith93557644 @PoliticsPot… https://t.co/WYAn74t9zx
"Yes, yes we are. #Grifters People are laughing at Trump’s new company https://t.co/eLZXPY1i54"
@maddow For the record when Trump was pushing Clorox I just knew that Listerine would have it’s day and here we are.
@JackWhoElse @ahrehead @mathmomma24 @PG13ScottWatson @AnafitAF @TacoforFive1 @Keith93557644 @PoliticsPot… https://t.co/2POSYe02I7
"JFC...I can't even with the GOP anymore 😒  ""Republicans Want to Make Trump Speaker of the House if They Win in 2022… https://t.co/bCqjmtlw5X"
@equi_noctis @coldpluto55 @AdamJSmithGA @HillaryClinton If you seriously think Hilary Clinton has less blood on her… https://t.co/HTHZjIYktt
@ReportsDaNews @JesusNarrowWay Instead of Prison Trump became President.
@FF_fanster @return_carriage @WolvesforKamala @rorivas8 @ThunderHeadFan @BenofB @Kacey325 @8645AmySaysVote… https://t.co/hDlUW8LWa5
Voters need to understand that the only two great Democrats of our time Roosevelt and Kennedy would both be Republi… https://t.co/OHbhSYTKhI
"In crosstalk with @maddow, @Lawrence calls Meadows’s lawsuit “legal vandalism” and slams the court for not moving f… https://t.co/21OcB4TpHq"
"If it means I'm a nerd, so be it, but my favorite thing in this whole article is seeing that Trump tweeted ""never-t… https://t.co/1lMyjOkv1h"
@paul65946325 Trump will have his platform soon and Twitter will just be a fart in the wind.
@cabbageguy @SlipofSmallHand @ikestoys @dustinpwalsh @WOODTV He was absolutely suggesting internal use of disinfect… https://t.co/Ni5UofjoiJ
@LurkingMother99 @az420allday @GiancarloSopo @WSJ The same you could when the pandemic started under Trump. You thi… https://t.co/kGa2We2rOb
End this Charade!  👹 🙏🏼    Trump's Deep State special counsel could see key indictment derailed after new evidence… https://t.co/Od6QyjmWWt
@WalshFreedom I think he's scared Trump's thugs will finish the job.
@RepLisaMcClain @POTUS @VP Tell me how many children the Trump administration lost?
"@MarkMeadows “Accountable”—really, Mark? As you’re dodging a congressional subpoena trying to hold people accountab… https://t.co/zVZa13ZkFg"
"Idk Tucker maybe COVID ""sucks the life-force out of them"" because it's a very nasty virus with long lasting side ef… https://t.co/kBNSfiMHi8"
@KellDA The smell of a civil war has been heavy in the air since Trump ran for the presidency in 2016.
Some guy was bad mouthing President Trump and the Republicans just before Thanksgiving I hoped his turkey burns and… https://t.co/gJ1wwbkmpt
"@ThePolymath11 @westhart07 Democrats and Republicans have won the presidency in exactly the same way: Bush, Obama, Trump, and Biden."
@MehdiHasanShow @glennkirschner2 @mehdirhasan “Trump was too weak to pick up his briefcase”. I bet Trump is apoplectic. 🤣🤣🤣
@najjar_richard @Glassman1148 @Anti_MagatCult @MTStringer1 @MikeBetts43 @Godslightangel7 @Vanessa76_1 @IFitz3… https://t.co/u8KSfz2aGC
@MagicMark9 @TODAYshow @HillaryClinton Hilary's prison sentence would be twice as long as trump's. Both have blood on their hands.
😂😂😂😂what a wimp He's become very thin-skinned like Trump https://t.co/tenD00tyXl
"#109- “Backdoor Reparations &amp; Unity Via Division”  Or, “Anatomy of a Backlash”  #PodernFamily #podcast #DEI… https://t.co/Ec9MFxxLrw"
@EJM1961 You do know that they were Trump Supporters don’t you?
@bmarcois Can you IMAGINE if Trump had done this?
"Pelosi says she'll 'never forgive' Trump, lackeys over Jan. 6 https://t.co/oYvownJQlA"
@SlipofSmallHand @cabbageguy @ikestoys @dustinpwalsh @WOODTV They never did.   https://t.co/6gVfMDCJwx
@cabbageguy @SlipofSmallHand @ikestoys @dustinpwalsh @WOODTV Context matters   https://t.co/6gVfMDCJwx
"@AndreaR9Md For someone who won a Pulitzer Prize, her grammar in this tweet is crap.  It should read, ""Trump seemed… https://t.co/VRqayo55hZ"
"@ggreenwald Ah yes, the Trump as the helpless victim with no agency card. Surprised we haven't seen this one in awhile."
Jason Bright helps drive the Trump Unity Bridge. He was also in DC on J6. https://t.co/HzMvN05rY0
But only if your truck has 5 trump flags flying from it https://t.co/ClzTmP5ZYC
@CelovskyDanny @QueenCindyKAG That’s ok I like Kurt Bush also ( but Kyle…meh) and I agree both parties are crooks (… https://t.co/lKxMN2icQw
"@RonFilipkowski This was my concern for the Cult. Once one of their top Lieutenant realize he's being ""played"" he w… https://t.co/Tmn3eYL5C4"
@GOPLeader I understood mr trump said “lot of people would be angry if I didn’t run” said just like the 5th grade b… https://t.co/WHvbCzjhz3
@PapiTrumpo You know what else is DELICIOUSO?  Biden: 306   Trump: 232 https://t.co/J09bROTFl3
@Tori_Sachs Remember when your dear leader LIED to America about COVID?   Listen to Trump privately say in February… https://t.co/43clKPHnOi
@realTuckFrumper For the record when Trump was pushing Clorox I just knew that Listerine would have it’s day and here we are.
@ResusCGMedia Trump’s Sister +  Marge Simpson
Trump has no end date... Interesting https://t.co/CIgFG6BadH TRUMPS PICTURE HAS NO END DATE AND THERE IS NO PICTURE… https://t.co/hSPWruKEDx
Democrats have always been racist sexist and bigots but now they're hatred for Trump supporters or supporters of Am… https://t.co/cwqC3bTzP6
@RepLizCheney SHOCKING VIDEO: J6 Political Prisoner and Green Beret Jeremy Brown Rescued Female Trump Supporter fro… https://t.co/qt5M0SuZG6
@JackJohnson9797 @PattyArquette @GOP BEFORE the Trump Recession:  Trump Has Created 1.5 Million Fewer Jobs Than Oba… https://t.co/R3CaHi94W7
Dems want Trump to back Perdue.. cuz it's not likely he win regardless of trump but even less of a chance if Trump… https://t.co/Kk3K3hY9kT
"@LOLGOP Apparently, we've now found the ONE thing people aren't allowed to use for their own personal barometer in… https://t.co/GNseEzJtKx"
Trump-Backed Georgia Gov Candidate David Perdue Says He Wouldn’t Have Certified 2020 Election Results https://t.co/2QEPPCyCoW
"@chiefjamescraig So, you're against requiring school kids to be vaccinated against polio and measles?   Oh, and you… https://t.co/GrtN2z9EU8"
"@Ally_Sammarco @ManMet80 What gets me, is the people who praised Trump for getting a vaccine so quickly, don't want anything to do with it."
1. Hillary losing to Trump again in 2024 would probably be the final nail in the coffin of this country ever having… https://t.co/heDOTF8st2
@patriottakes Basic math is difficult for Trump supporters.
Incel Party- ‘Terrifying’: Right wingers furious over study showing 7 in 10 young Dems would never date a Trump vot… https://t.co/zCEoY9MNjG
#109- “Backdoor Reparations &amp; Unity Via Division”  The propaganda of half truths.   #PodernFamily #podcast #DEI… https://t.co/Tyq0rzeGdv
"Finally, this was a BARR proposal that didn't get done before the end of the Trump administration.  How in the HELL… https://t.co/nrUXFk1Fcw"
"@soccermomTEX It's not even just Trump, it's pro-Tucker Carlson, et al. It gets tiring."
@LincolnWatchman Me too I Also thought this is it America will wake up and be done with Trump I was so wrong!
I wonder when Trump is going to send out his Treason Greeting cards.
Somebody's sucking up to Trump for an endorsement... https://t.co/lnclWFwb53
"@paul_pisano @trump4_america By giving cover to killers, great 😒 https://t.co/FaaZtRGOdT"
Madison Cawthorn may have broken the law during meeting with Trump at Mar-a-Lago: report  https://t.co/u6h2LQB7mS
@Mitchboobigly @KyleMartinsen_ Trump never shuffled his feet and wondered what the hell he was supposed to be doing… https://t.co/Y8jgNUTzc0
"@derpa_dum @LostAt42 @JimmyPrinceton @RhodyReport More to the point, that white racist and homophobic Trump support… https://t.co/lmfUFxsdiw"
🐴 💪🏼   Young Democrats are right: There is no reason to date or befriend Trump voters   💪🏼🐴  https://t.co/3HUxWWcE0t
@washingtonpost And it's Trump who can't get over his loss?   Someone might want to look in the mirror?
@HopesMom12 @technoglyf Or resign from Congress early to work for Trump officially … cough…Nunes…cough.
"@Mitchboobigly @KyleMartinsen_ Yes, but it’s all in the way he wants to be led. When Trump entered a room he was the leader."
@FrankSands14 @jakeshieldsajj Donald Trump saw more action serving Thanksgiving dinner to the troops in Afghanistan… https://t.co/w2zCe6SFfA
Ain't that the truth! #JusticeMatters Problem with holding Trump accountable and the same thing his cult members ha… https://t.co/5jfYefCZvS
@MacFarlaneNews Capitol was breached before Trump finished speaking? That’s new.
@PrincessBravato I thought that could be a problem for money laundering Trump.
@JoeBiden No those jobs were created by trump during a great economy but were halted by covid.there are 11 million… https://t.co/VOstFuuhbn
Trump SOBBING as Investors DITCH his Company https://t.co/T355fChuDZ via @YouTube
"@KamalaHarris Uh, trump signed an order to “reduce” drug prices and Biden overturned it first day in office, don’t you know anything?"
"@MSNBC @MaddowBlog ""Only the mob plead the 5th"", trump was right about that."
Biden crime is a family affair. Biden’s arrogance really gets me. He didn’t care who knew because he knew he was ab… https://t.co/5RticSMCHE
"@donwinslow He's cooperating, with the trump criminal organization."
@libradunn &amp; @MacFarlaneNews Meadows wrote a book about his time as an aide for Trump ..... https://t.co/phGxgpZI2m
@alwayssunny A civilized country. Trump f’d that up too.
Trump's Phone Records SEIZED and he is TERRIFIED https://t.co/SawQtibVTl via @YouTube
Just In   📣  🕵🏻‍♂️⚔️😵    Mark Meadows Sues Nancy Pelosi to Avoid Testifying Before Capitol Riot Committee  😵⚔️🕵🏻‍♂️  https://t.co/WJNiDBzUV7
I’m so pissed off I can’t see straight!  Seems like Trump and Company will never be brought to Justice! This is the… https://t.co/IXSICXt1zm
"Trump Tax Cuts Helped Middle Class More Than Rich, New Analysis Shows https://t.co/Kc4iFEMqUY    https://t.co/83oSqpN96u"
@TheDemocrats Yeah now that the American Horror Story of the Trump administration is over. Hopefully our First Lady… https://t.co/KUd9NoFgi9
That’s for damn sure. Read the German history and how inaction and dismissing Hitler put him in office just like US… https://t.co/Z6PcVTcY1H
WTF?  Mark Meadows is making a mockery of the his contempt of Congress charge &amp; it looks like the Justice Departmen… https://t.co/FYNg5ApgAs
@DWPippy @PamKeithFL How can we make Biden understand he will be looked upon as a strong man if he terminates Garla… https://t.co/QPiJt4cnCQ
@shar76 @GottaLaff May I also remind you he wrote a book ? About his time as Trump's aide?
@tribelaw Is he and his family being threatened? As has been the case with too many Trump loyalists? That too should be investigated.
@GloriaMiele @PeterHotez There was a plan left by Obama...tRump tossed it in the trash from the beginning https://t.co/BUDyDkoqqH
@caslernoel @MarkMeadows Trump will forget all about him.
@TheRealTag27 @royaltourcaddie @sleepyau_fait @JackPosobiec Epstein and Maxwell weren’t on that flight. It was a sm… https://t.co/9FbyxtRruk
@CalltoActivism Sure I would. There are a number of businesses I don't shop at because they support the GOP&amp;tRump&amp;his insurrectionists.
@mikepompeo Spiking the deficit w tax cuts for the rich &amp; corporations = taxation on those how can least afford it.… https://t.co/mJmGDKMEbM
@HeartlandSignal For the record when Trump was pushing Clorox I just knew that Listerine would have it’s day and here we are.
2016: didnt vote  2020: voted trump
@NBCNews Is that Eric Trump?
"@GreenleeGazette @realTuckFrumper For me and those I know, it really is all about their defense of traitor trump an… https://t.co/YwwvzSHjxi"
"How many did he infect? In seven days, Trump showed Americans exactly what kind of human being he is https://t.co/ktfrgMc6Hb"
@justinamash Honest question : do you believe that the US government should pay its bills?  Because the raise of th… https://t.co/FlKONOfueL
@NCC1701_7 @zerohedge Donald Trump had one of the most fragile egos in the world. Perhaps if the far right controll… https://t.co/mVTuQFIqW3
"If the GOP Senators did there duty, Trump would of been Impeached and removed from Office. There would of been no J… https://t.co/Se6WeX9aqH"
@VaGyver Lindsey is a rainbow colored wind sock that always seem to blow in the direction of Trump.
"@Gods_America_ I would be ashamed of being a Trump follower, since he's been impeached twice, violated the Constitu… https://t.co/bNjqTLSNwi"
@Acyn Donald Trump and @GOP repeatedly downplayed Covid-19 from the beginning.
@realLizUSA TRUMP LOST THE 2020 ELECTION TRUMP LOST THE 2020 ELECTION  TRUMP LOST THE 2020 ELECTION  TRUMP LOST THE… https://t.co/Zh1CSPEbSn
"@Gods_America_ Sorry, if the 22nd Amendment of our Constitution if interpreted correctly, Trump can't run for office again!!!"
@hana___anah @charlesdee50 Really dumb! They should know what his track record is!!! Everyone should be aware that… https://t.co/BvX5TKSkwT
@RonFilipkowski Something has Lin Wood scared 🤔. He's still wearing his tRUMP hat.
@RepLisaMcClain @POTUS @VP Question? Is it true that most of the canvaser’s in 11 counties in Michigan have been re… https://t.co/UaA5rg3v8U
"“The groups want answers to questions like, how much did Russia spend? Who did they make payments to? When were the… https://t.co/aN1FA7POza"
VIDEO: @SpeakerPelosi: ‘I’ll never forgive’ Trump for Jan. 6 Capitol riot even though she Plotted it! 🆘👎🏻 https://t.co/5laJhfle2d
@AccountableGOP Well the best way to prove this conspiracy true is for Trump and his former aides to comply with th… https://t.co/hV6mgUN9EI
"Trump did condemn white supremacists, too bad so many people won't listen https://t.co/FcI9X09sbV via @usatoday"
"@nathaliejacoby1 Yes, we’re facing Karma now for Trump being 45."
FEC Sued For Failing To Investigate Illegal Trump/Russia Coordination https://t.co/WGzcpzmjAH https://t.co/tZRkdRzuI0
I believe that the governor only started hitting Trump back when 2 things occurred. 1 He realized that Trump was wo… https://t.co/YYD7xaSAoc
"We KNOW TRUMP - his ENTIRE life has been the SAME.   Over the years people were left w/question of ""HOW is he NOT i… https://t.co/vdKiQODri6"
"@CaptainCornbred @JackPosobiec Foot dragging? No, Democrats didn’t get the answer they wanted so they are keeping i… https://t.co/W2rxMGT0LI"
@hugolowell A play right out of the Trump playbook!
@CNNPolitics Being a US Rep seemed so easy compared to tRump’s Butler.
😩😂😭🤣😂😂 She will never get over losing to Trump. Its fitting 👍🏼 https://t.co/Jnr0gIrjuB
"Seen from the Skies Above Missouri: ""Let's Go Brandon! Trump 2024"" https://t.co/olMWAQWrHv via @gatewaypundit"
"Garland's only been in office 9 1/2 months &amp; BARR left a FUCKING TSUNAMI of Trump &amp; his mob crimes, that didn't eve… https://t.co/sPm4OOXzNI"
@cnnbrk Hillary Clinton answered 11 hours of questions in a republican house select committee about Benghazi in 201… https://t.co/RSNPiiRsju
Trump..DON'T LISTEN TO HIM!  ENDORSE Greitens  Hugh Hewitt Implores Trump Not to Endorse Eric Greitens for Senate https://t.co/cLNZ8udxBf
@TulsiGabbard @aiden22theastr1 Yet you voted for Trump and call Jan 6th a tourist visit. https://t.co/HOyixyQ3le
Devin Nunes is Resigning from Congress to Take a Big Position for Trump - https://t.co/VqGpEPKdaJ
"Mark Meadows texted a member of Congress 'I love it' about a plan to submit 'alternate' slates of Trump electors, J… https://t.co/OwukijEFqk"
@madrid_mike Come on Latin voters you really think trump or the republicans care about you
@thomaskaine5 Even most old democrats won’t date or befriend Trump voters/supporters!
@frostnhstaterep He’s trump-mini-me.
@AtariDave @SaucySaidIt @AndrewYang @Johnt731 @Fwd_Party The dem party is everyone bernie to manchin. The other par… https://t.co/qy7XIUFB7s
"@MSNBC It's time Biden outs in ""acting"" representatives like Trump did!"
"Trump Ordered Staff to ‘Bust Some Heads’ at Black Lives Matter Protest Prior to Bible Photo Op, Meadows Book Reveal… https://t.co/nBNNiUOmFp"
@mtgreenee Remember when the former guy said …  (Former guy’s voice)  “I think it’s good to be friends with Russia”… https://t.co/7RmkAzzy82
"“Every strategy that Trump and his cronies have tried to derail the investigation has failed, and the refusal to co… https://t.co/tX4r16Up7O"
A party that backs insurrection bodes worse. ready the fainting couch for ex Trump officials. https://t.co/W6Rz50Fbd0
"@MplsMe @AnnecresswellC Ah, the trump playbook, how original."
Concerns grows that Trump’s election lie a dress rehearsal for 2024. https://t.co/5Bma9TvVaK
@th_winston @glennbeck You realize trump wasn’t president in 2014 when the crimea was annexed right? That was the s… https://t.co/PXujkVdBpQ
@MuellerSheWrote Trump told him to do this.
"Um…Don’t hate me, but I could give a flying fu€k what Mary Trump thinks…And I hate Donald Trump. Focus on who and w… https://t.co/22iRVcEOAQ"
Biden Declares Infrastructure Decade As Banished Trump Seethes https://t.co/madfLMya3m https://t.co/Xnp1JSaleA
"@RepJackBergman Hey Jack, why didn’t you stand up in February of 2020 with all of these requirements. Maybe you cou… https://t.co/glqnUYiRLO"
@RepJackBergman Jacks big NDAA list on The Afghanistan surrender carried out by the Trump administration. He is sti… https://t.co/ypkbPFtIUp
"@Strandjunker trump has studied Hitler, his actions, manerisms, and read all he has written. trump is mimicing much of Hitlers plans."
@uppittynegress Not saying she isn't smart. Not saying she wouldn't have been better than Trump. Not saying I didn'… https://t.co/3toVLLqR97
@BillKristol Dems need to register as Republicans and vote for Kemp in the primary. Kemp on the ticket could depres… https://t.co/FbMZYzGCQB
@chrislhayes Dems need to register as Republicans and vote for Kemp in the primary. Kemp on the ticket could depres… https://t.co/FAV7G3VeGo
@ResisterForever That’s unfortunately the result of the Republicans’ “dumbing down of America” since Trump!
"How come so many other countries, had testing kits available IMMEDIATELY? But not us though??? Trump could have acc… https://t.co/NuhT1FIkyl"
@kenvogel @MrJonCryer @RepMeijer The guy that voted with trump nearly every vote?
"@DefenseOne @TaraCopp ""...ground forces have been firing U.S.-provided Javelin anti-tank missiles at Russian or Rus… https://t.co/8CKLCOF6Ep"
@Steve_Gibbs19 Guilty guilty guilty.  Like Trump himself said ‘Why plead the 5th if you have nothing to hide?’
@Steve_Gibbs19 So many cowards.  No body dares do anything.  Trump and GOP have people shivering in their boots.  W… https://t.co/AfkCc7kZGQ
@techstoa They did things to the Sanders campaign.  I would have voted for Bernie and I know I just opened myself u… https://t.co/iNH3JugLmB
@AndrewCFollett @whignewtons Why would reasonable people expected to be friends with the Trump version of the Rs.… https://t.co/LDSEsGLSto
"@a7mad0v94 @POTUS 🙏 - don't worry about us, we are still okay here, for now. But the horror we are choosing to enab… https://t.co/zl7biq2xCZ"
"@techstoa I have five daughters, I wish they could have seen a woman elected president, and then on top of that the… https://t.co/miPdmhuLiD"
"@RustiGirl1441 Yeah, screw background investigations just make it easier for Maxwell, Epstein, trump and other traffickers."
@punishedmother Insurrection would've been more aggressive or optically dead.  If the former - Fuhrer Trump. If the… https://t.co/8TGKDqBjh5
@Graham_Couch Fan boy Graham supporting his team.  His coverage of MSU is like Fox News covering Trump.
@david12155496 @afshinright @MELANIATRUMP LOL. “Of THE HISTORY.” Can anyone here please tell us what Melania Trump… https://t.co/NvC3Fxtb3V
"@xiruahu @jyangelo @realLizUSA they would have have you think trump won 100%, like it was Iran or NK."
"It may just be that I don’t know my way around Twitter, but!!! I wish people would state their belief’s. Without th… https://t.co/oWgQExeder"
"@waltduro @gusportela @MIGOP @GOP None, just pointing out that Trump's person is still head of the agency most responsible for inflation"
@patriottakes Of course they are… all changes must be Trump approved 🙄
"trump and his deplorable grifters announce evidence of fraud daily. new, just discovered evidence. WHERE IS IT? SHO… https://t.co/BUxV34YZy8"
@B52Malmet Trump beats Nixon by a long shot.
"@JackJohnson9797 @PattyArquette @GOP 1. ""The national debt has risen by almost $7.8 trillion during Trump’s time in… https://t.co/T6bgSvFFiV"
"@BillKristol Hello Georgia, Perdue will disreguard your will as voters . If trump doesn't like the results Perdue will change it for him."
"McCarthy thinks he is one of them, he has missed the ring, you know the one that the tRump wears on his penis. https://t.co/gdpntoqh1J"
@Kris_Sacrebleu I think that’s the wax version Trump. 🙃
🗽  🤡    Trump's attack on democracy is 'gaining momentum' as even impeachment-backing Republicans feel intimidated… https://t.co/3MFApK5uAp
"@DennisSurfer @JDawson168 @PartNoWays @FrankLuntz Again, I'll direct your attention to the riots of last summer in… https://t.co/H8C7DNA8Y4"
@MarcRudov @JoeConchaTV Yup! That would be Trump
@BrittsanScott @JoeConchaTV You just nailed Trump!! Good fucking job 🤣🤣🤣👍
@MikeSington 😥 y'all literally obsessed with Trump. Sound like a teenage girl who got dumped and stalks her ex on I… https://t.co/XFYdudrkGm
@ReallyAmerican1 @chipfranklin if Nunes is not a failure trump will surely make him one.
Hillary Clinton faced 11 hours of questioning by a Republican house select committee about Benghazi.   Trump is obs… https://t.co/BPIKSAvZiI
@AngelWa33017557 Good to know 65% of New York's black kids are Trump people. There is hope!
@chris_notcapn @AndrewCFollett @TampaWoman1965 @whignewtons The neighbor across the street STILL has his Trump sign… https://t.co/I05YBEqnF3
Biden administration policies struggle with Trump-appointed judges  https://t.co/kmHsB8S7o0
"I'm NO youngster, but I could never date a Maggot! Never!  😂😄     ‘Terrifying’: Right wingers furious over study sh… https://t.co/kaz2glElTU"
You've doomed us all. This is the future trump gave us.  https://t.co/5XwHl0ZD5Q
@QuidProJoe3 @Jim_Jordan Trump screamed Fraud for years before 2016 election and increased it in 2020.  He set you… https://t.co/YX1TBJ5mFp
Trump wants Perdue  Bannon wants Kemp.. https://t.co/owKJePMW6m
"@TheJayHolt @CSinclairtv @OANN Trump’s name has already been mentioned in the trial, try again."
There are so many reasons not to forgive Trump. @mmpadellan https://t.co/LvVgmes4HJ
"@JackJohnson9797 @PattyArquette @GOP ""Might be lower."" 🤣🤣🤣  ""even before the pandemic""  https://t.co/j6YS4ApBpw"
Glad to see Tucker loves Putin as much as his best buddy Trump. https://t.co/OHOG3doVaO
@cnnbrk 2024 President Trump orders McDonalds to bring back styrofoam boxes for all sandwiches. It’s a give and take
@CarolinaGuyYall @oceansfury_1 @jbizzy6969 @justasimplema20 @jimaw63 @NatForTrump2024 @Chui2021 @Jay_see_see… https://t.co/8latwyMDYC
"Days Before Newly-Elected President Joe Biden’s Inauguration, Trump Supporters Staged a Violent Attempted Coup - Pe… https://t.co/b0ketK1Nci"
Should all of them wear drool buckets?  They are babbling idiots.  Trump-backed candidate getting panned by her fel… https://t.co/bJT67X5Uza
